id,value,anomaly
101,79.3,1.8633
102,79.3333,2.0877
103,80.9,1.8777
104,79.8333,1.9277
105,79.5,1.835
106,81.8333,2.0077
107,81.5,1.5887
108,81.9333,1.5167
201,83.2667,3.1383
202,72.2667,2.2977
203,78.6333,3.1143
204,78.0,2.2237
205,92.2,3.7417
206,89.6,3.327
207,80.5667,1.7687
301,77.2333,1.5997
302,77.7333,1.3497
303,79.5667,1.0223
304,79.5667,1.4883
305,80.6667,1.3237
306,80.8333,0.879
307,80.5667,0.9467
308,81.0,0.8333
309,81.3667,1.11
401,67.1667,2.7323
402,71.8667,2.8593
403,63.9333,2.622
404,70.0,2.9693
405,74.5,2.922
406,73.6667,4.384
407,85.5333,3.5373
501,71.0333,1.97
502,63.6333,2.704
503,74.3,2.888
504,67.5333,3.0553
505,58.9,1.4033
601,68.7667,2.1927
602,70.5,2.114
603,71.6333,2.1893
701,75.5333,2.461
702,75.9333,2.5597
801,81.8667,1.523
802,81.2667,1.214
803,81.8,1.3593
804,81.6333,1.007
805,82.2333,1.0387
806,82.1333,1.2243
807,83.0333,0.9743
901,78.7,1.6613
902,76.9333,1.32
903,78.0,1.092
904,79.4333,1.528
905,80.5333,1.291
906,80.4,1.112
907,81.3,1.3477
908,80.9333,1.1823
909,81.3333,1.1803
1001,63.0,2.81
1002,64.9667,2.9487
1003,68.1667,3.058
1004,61.1,3.0297
1005,73.1667,3.2947
1006,68.2667,3.117
1007,70.4667,3.5083
1008,61.0667,3.1653
1009,67.1333,2.9013
1010,64.7667,2.9027
1101,72.3667,1.1157
1102,71.9,0.9283
1103,74.8,1.0843
1104,73.8667,0.9653
1105,73.0333,0.736
1106,75.7667,1.057
1107,75.2667,0.947
1108,77.1333,1.199
1109,76.6,0.766
1201,71.7667,0.6603
1202,71.4667,0.6167
1203,71.4,0.7543
1204,73.0333,0.355
1205,72.5,0.1437
1206,71.8,0.3873
1207,75.7,0.8213
1208,74.0333,0.2313
1209,73.8333,0.4247
1301,72.2,1.7277
1302,71.2667,1.2867
1303,70.7,1.0767
1304,73.0667,1.4157
1305,72.7667,1.1973
1306,72.4,0.8917
1307,74.2,1.1573
1308,74.2,1.1367
1309,74.2,1.03
1401,76.4667,2.4537
1402,78.1333,2.0397
1403,77.5333,1.894
1404,77.4333,2.333
1405,79.5333,2.3593
1406,78.4333,1.996
1407,78.4333,1.7623
1408,80.2333,2.0137
1409,79.5333,1.765
1501,77.4,0.796
1502,75.4667,0.4983
1503,74.3,0.6003
1504,73.8,0.608
1601,82.1667,1.0843
1602,81.4333,1.0607
1603,82.0333,1.3343
1604,81.0333,0.2547
1605,81.9,0.61
1606,81.9333,1.2877
1607,81.8333,0.143
1608,82.2667,1.0033
1609,82.8,1.4163
1701,63.3,1.879
1702,66.2667,1.85
1703,66.0,2.0847
1801,76.3667,2.1873
1802,76.7333,2.385
1803,77.0,2.2827
1804,77.0,2.5947
1805,76.3,2.2943
1806,75.2667,2.727
1807,73.3667,1.9997
1808,67.2,1.235
1901,67.3,2.1227
1902,69.6333,1.992
1903,70.1333,2.2827
2001,64.9333,2.6447
2002,64.9333,2.615
2003,66.9,2.4137
2004,67.0333,2.5877
2005,68.3,1.875
2006,68.6,1.7717
2007,69.1667,1.8413
2008,70.5667,1.4283
2009,69.9,1.0403
2010,70.4333,1.5087
2101,68.2333,2.547
2102,67.0333,3.068
2103,65.1333,3.4463
2104,70.2,2.0347
2105,70.7,2.6123
2106,69.1667,3.1273
2107,70.9,1.6653
2108,71.2333,1.5767
2109,70.4333,1.786
2201,81.5667,1.2523
2202,80.7667,1.391
2203,79.9667,1.3243
2204,81.9667,1.3293
2205,80.9667,1.5037
2206,81.2667,1.8207
2207,81.3,1.0653
2208,81.3667,1.3903
2209,81.3333,1.4907
2210,81.7,1.6617
2301,76.4667,1.5887
2302,76.2667,1.2303
2303,78.2333,1.9553
2304,77.4,1.6203
2305,76.4333,1.1793
2306,78.6667,0.5817
2401,61.3667,3.231
2402,60.2,3.0397
2403,66.6,3.4443
2404,65.4667,3.244
2405,67.0333,3.6933
2406,69.7,3.5437
2407,71.2,3.6123
2501,72.4667,3.6713
2502,73.4333,2.716
2503,73.6667,1.4693
2505,73.8667,1.7593
2506,75.0333,1.5413
2507,74.9333,2.3443
2508,75.5,1.5727
2509,76.2333,1.573
2601,70.9,2.9303
2602,67.3333,2.887
2603,72.9333,3.2087
2604,86.2333,3.275
2701,63.2667,1.5603
2702,67.1667,1.9867
2801,71.8,2.2567
2802,74.8333,2.5527
2803,74.5333,2.8447
2901,70.6333,2.1683
2902,65.9,1.5753
2903,75.6333,1.922
2904,67.4667,1.6357
2905,75.3333,1.5617
2906,69.2333,1.9347
2907,77.6667,1.9907
2908,77.5,1.1333
3001,66.3,0.77
3002,66.9333,1.5197
3003,63.9333,1.651
3004,73.0,2.6337
3005,70.2667,1.9773
