id,value
101,14.47
102,11.69
103,14.19
104,12.7
105,13.02
106,12.59
107,12.59
108,21.78
201,0.43
202,1.53
203,1.41
204,2.4
205,0.16
206,1.13
207,3.87
301,17.82
302,16.02
303,15.16
304,17.74
305,14.47
306,15.56
307,15.32
308,13.16
309,14.19
401,0.56
402,0.43
403,0.75
404,0.03
405,0.15
406,0.05
407,0.27
501,5.88
502,2.94
503,8.45
504,5.73
505,3.72
601,9.38
602,11.8
603,13.18
701,14.01
702,10.86
801,18.34
802,22.53
803,26.72
804,27.14
805,28.14
806,25.76
807,16.15
901,11.69
902,14.1
903,15.21
904,13.28
905,12.6
906,15.04
907,15.38
908,15.77
909,15.94
1001,3.55
1002,3.43
1003,2.93
1004,2.87
1005,0.66
1006,1.31
1007,0.85
1008,2.71
1009,1.25
1010,2.3
1101,11.19
1102,11.67
1103,10.58
1104,10.15
1105,9.48
1106,14.01
1107,15.33
1108,13.58
1109,13.63
1201,9.61
1202,9.65
1203,12.97
1204,12.9
1205,12.87
1206,12.63
1207,17.08
1208,16.47
1209,14.49
1301,10.57
1302,10.19
1303,12.53
1304,10.02
1305,11.01
1306,10.48
1307,10.61
1308,12.02
1309,9.92
1401,12.15
1402,14.65
1403,18.93
1404,8.95
1405,14.02
1406,19.55
1407,7.19
1408,11.73
1409,19.44
1501,15.97
1502,17.4
1503,16.8
1504,17.0
1601,11.14
1602,13.11
1603,13.21
1604,12.97
1605,18.36
1606,20.6
1607,25.58
1608,23.76
1609,23.18
1701,11.36
1702,14.52
1703,14.53
1801,10.61
1802,10.26
1803,13.58
1804,11.61
1805,11.17
1806,13.28
1807,11.89
1808,13.76
1901,11.36
1902,13.06
1903,13.1
2001,7.48
2002,8.53
2003,9.53
2004,8.97
2005,10.84
2006,9.57
2007,9.34
2008,10.86
2009,11.71
2010,10.94
2101,10.73
2102,10.71
2103,9.6
2104,11.97
2105,11.94
2106,11.5
2107,11.61
2108,12.94
2109,15.12
2201,15.17
2202,17.85
2203,18.44
2204,13.37
2205,17.85
2206,16.84
2207,17.89
2208,17.4
2209,16.71
2210,21.99
2301,15.77
2302,15.23
2303,17.64
2304,16.85
2305,16.5
2306,17.16
2401,4.6
2402,4.76
2403,5.45
2404,5.51
2405,6.11
2406,8.17
2407,8.32
2501,9.58
2502,13.37
2503,9.6
2505,18.04
2506,13.33
2507,12.6
2508,15.84
2509,16.13
2601,0.57
2602,1.09
2603,0.77
2604,0.22
2701,12.53
2702,13.23
2801,16.29
2802,14.39
2803,12.9
2901,1.51
2902,4.86
2903,6.27
2904,3.85
2905,3.21
2906,5.37
2907,4.31
2908,3.41
3001,14.17
3002,12.52
3003,13.51
3004,12.74
3005,12.21
3006,14.42
3007,10.95
3008,9.63
3009,12.0
3010,13.12
3101,16.93
3102,18.69
3103,15.43
3104,14.96
3105,12.25
3106,15.47
3107,16.1
3108,16.48
3201,8.95
3202,8.95
3203,8.76
3204,7.95
3205,10.25
3206,11.89
3207,8.25
3208,9.09
3209,10.88
3301,13.97
3302,14.4
3303,16.35
3304,12.12
3305,14.2
3306,17.43
3307,17.27
3308,14.77
3309,15.09
3310,14.35
3401,8.03
3402,11.18
3403,19.44
3404,8.39
3405,12.51
3406,15.51
3407,6.17
3408,11.04
3409,15.03
3501,2.47
3502,2.05
3503,1.63
3504,3.26
3505,1.2
3506,1.28
3507,1.3
3508,1.8
3509,1.01
3601,14.64
3602,15.12
3603,15.66
3604,12.39
3605,13.33
3606,14.24
3607,15.33
3608,12.63
3609,16.18
3610,17.59
3701,13.49
3801,16.15
3802,11.47
3803,11.18
3804,15.27
3805,14.79
3806,14.07
3807,18.0
3901,9.73
3902,11.34
3903,12.13
3904,11.57
3905,10.24
3906,11.86
3907,14.53
3908,12.61
3909,12.61
4001,16.0
4002,16.72
4003,16.93
4004,16.56
4101,5.75
4102,5.25
4103,8.24
4104,11.49
4105,4.3
4106,6.07
4107,6.31
4108,15.05
4109,3.7
4110,9.29
4201,1.33
4202,0.48
4203,1.38
4204,2.03
4205,2.09
4206,1.04
4207,0.87
4301,13.19
4302,12.41
4303,12.51
4401,16.47
4402,13.67
4403,14.01
4404,11.39
4405,12.14
4406,13.49
4501,5.5
4502,2.27
4503,3.21
4504,4.78
4505,5.5
4506,2.64
4507,1.44
4508,0.84
4509,2.55
4510,1.52
4601,14.64
4602,14.52
4603,12.73
4604,14.68
4605,11.21
4606,11.58
4701,11.41
4702,12.11
4703,11.76
4704,14.31
4705,13.94
4706,12.71
4707,14.47
4708,13.25
4709,12.27
4801,4.96
4802,3.59
4803,1.48
4804,3.6
4805,5.97
4806,9.12
4807,7.66
4808,4.94
4809,2.29
4810,2.52
