id,value
101,10.28
102,12.3
103,12.22
104,12.88
105,14.21
106,11.49
107,17.43
108,19.46
201,3.58
202,4.75
203,7.26
204,7.26
205,2.14
206,4.33
207,6.25
301,13.28
302,12.56
303,12.75
304,16.78
305,13.01
306,9.64
307,11.63
308,11.27
309,12.68
401,0.43
402,0.19
403,0.8
404,0.01
405,0.13
406,0.09
407,0.62
501,6.15
502,2.5
503,7.51
504,5.2
505,3.6
601,17.73
602,14.44
603,12.81
701,16.54
702,13.55
801,20.64
802,23.47
803,23.55
804,24.07
805,22.13
806,19.09
807,12.96
901,16.32
902,18.34
903,15.21
904,16.71
905,15.0
906,15.02
907,18.12
908,17.6
909,18.36
1001,2.78
1002,3.1
1003,2.72
1004,2.9
1005,0.57
1006,1.09
1007,0.54
1008,3.79
1009,2.09
1010,2.33
1101,17.03
1102,13.88
1103,13.1
1104,13.25
1105,13.64
1106,14.22
1107,17.83
1108,13.58
1109,13.78
1201,12.71
1202,15.39
1203,15.58
1204,15.61
1205,16.03
1206,16.33
1207,14.2
1208,15.21
1209,17.23
1301,18.51
1302,19.11
1303,19.11
1304,18.72
1305,18.41
1306,16.87
1307,17.65
1308,12.86
1309,13.28
1401,10.73
1402,13.04
1403,11.49
1404,10.06
1405,12.53
1406,11.91
1407,13.64
1408,13.01
1409,13.26
1501,11.25
1502,15.34
1503,18.55
1504,16.03
1601,7.12
1602,8.41
1603,11.26
1604,11.15
1605,11.13
1606,15.76
1607,15.4
1608,17.47
1609,18.43
1701,12.24
1702,10.9
1703,10.14
1801,12.66
1802,12.87
1803,19.15
1804,20.65
1805,15.73
1806,21.14
1807,20.29
1808,17.89
1901,18.65
1902,16.46
1903,9.79
2001,12.44
2002,8.6
2003,8.36
2004,7.66
2005,11.36
2006,10.73
2007,10.34
2008,12.8
2009,9.76
2010,8.67
2101,9.13
2102,10.36
2103,10.81
2104,14.77
2105,14.16
2106,14.41
2107,20.26
2108,16.86
2109,14.69
2201,11.29
2202,11.99
2203,12.08
2204,12.26
2205,11.15
2206,10.19
2207,11.64
2208,17.0
2209,14.84
2210,20.4
2301,11.37
2302,11.69
2303,11.46
2304,11.75
2305,13.05
2306,11.14
2401,4.37
2402,5.97
2403,4.24
2404,6.51
2405,6.62
2406,5.13
2407,6.08
2501,7.56
2502,13.25
2503,17.01
2505,12.65
2506,15.83
2507,10.36
2508,12.05
2509,13.08
2601,0.53
2602,0.91
2603,1.53
2604,1.49
2701,13.38
2702,15.16
2801,17.77
2802,13.08
2803,11.42
2901,2.75
2902,5.68
2903,6.9
2904,5.7
2905,5.21
2906,6.37
2907,4.54
2908,5.02
3001,15.73
3002,16.84
3003,10.58
3004,13.53
3005,15.96
3006,14.31
3007,9.82
3008,9.68
3009,10.18
3010,12.8
3101,16.92
3102,16.73
3103,15.47
3104,14.9
3105,11.92
3106,18.78
3107,19.41
3108,19.05
3201,7.84
3202,9.1
3203,7.9
3204,8.35
3205,10.09
3206,11.22
3207,7.16
3208,8.28
3209,11.11
3301,13.12
3302,11.74
3303,12.01
3304,13.34
3305,14.5
3306,11.48
3307,13.39
3308,15.11
3309,15.57
3310,15.02
3401,12.85
3402,12.64
3403,11.15
3404,9.76
3405,12.74
3406,11.54
3407,6.84
3408,9.12
3409,13.61
3501,1.71
3502,1.55
3503,1.3
3504,2.34
3505,0.75
3506,0.8
3507,1.07
3508,2.09
3509,1.21
3601,19.23
3602,23.27
3603,22.05
3604,21.48
3605,21.88
3606,20.39
3607,18.52
3608,19.71
3609,17.03
3610,15.34
3701,9.77
3801,17.46
3802,13.05
3803,10.21
3804,14.36
3805,12.15
3806,12.55
3807,17.79
3901,7.47
3902,7.98
3903,9.84
3904,11.69
3905,9.34
3906,8.74
3907,11.21
3908,11.78
3909,14.72
4001,15.78
4002,17.27
4003,11.66
4004,11.04
4101,7.46
4102,5.96
4103,5.96
4104,8.42
4105,4.39
4106,5.43
4107,7.67
4108,14.31
4109,6.27
4110,10.83
4201,1.04
4202,3.31
4203,1.11
4204,3.24
4205,2.24
4206,1.81
4207,1.68
4301,11.79
4302,11.46
4303,15.56
4401,18.57
4402,16.58
4403,15.51
4404,23.56
4405,16.92
4406,13.78
4501,3.99
4502,1.93
4503,2.09
4504,3.28
4505,3.41
4506,1.31
4507,0.56
4508,0.33
4509,1.97
4510,1.54
4601,16.61
4602,16.61
4603,16.14
4604,17.68
4605,14.31
4606,19.45
4701,13.87
4702,13.05
4703,12.06
4704,12.83
4705,15.99
4706,14.31
4707,17.04
4708,20.53
4709,16.22
4801,6.25
4802,4.64
4803,2.08
4804,3.81
4805,5.29
4806,8.81
4807,8.83
4808,5.06
4809,3.33
4810,2.86
