id,value
101,12.99
102,12.85
103,14.54
104,12.89
105,13.41
106,13.5
107,14.36
108,14.55
201,1.01
202,1.74
203,2.13
204,3.32
205,0.62
206,1.5
207,4.04
301,12.11
302,13.27
303,15.85
304,11.97
305,14.22
306,15.62
307,14.73
308,12.53
309,12.23
401,1.56
402,1.46
403,1.97
404,0.11
405,0.51
406,0.12
407,0.32
501,6.95
502,3.89
503,11.2
504,7.79
505,3.81
601,22.14
602,19.15
603,17.96
701,17.29
702,16.04
801,14.04
802,19.23
803,19.45
804,20.36
805,22.89
806,21.16
807,15.83
901,10.01
902,10.82
903,9.82
904,11.28
905,9.68
906,11.48
907,14.56
908,12.55
909,16.05
1001,4.62
1002,5.46
1003,4.68
1004,6.31
1005,3.56
1006,4.88
1007,3.48
1008,6.77
1009,5.59
1010,6.81
1101,18.6
1102,13.39
1103,16.96
1104,14.45
1105,12.94
1106,12.71
1107,13.1
1108,13.58
1109,14.14
1201,10.73
1202,11.88
1203,11.45
1204,13.02
1205,13.39
1206,10.58
1207,13.66
1208,15.0
1209,15.87
1301,11.8
1302,10.74
1303,15.0
1304,15.78
1305,14.6
1306,21.82
1307,14.5
1308,16.95
1309,21.2
1401,11.2
1402,12.86
1403,17.08
1404,9.31
1405,12.17
1406,16.27
1407,9.59
1408,10.89
1409,15.2
1501,14.59
1502,14.97
1503,16.37
1504,15.92
1601,13.62
1602,10.3
1603,10.92
1604,10.27
1605,10.04
1606,11.26
1607,12.75
1608,12.48
1609,14.55
1701,15.65
1702,18.84
1703,20.97
1801,15.19
1802,15.72
1803,13.19
1804,14.34
1805,14.34
1806,15.54
1807,11.42
1808,12.36
1901,21.39
1902,18.56
1903,17.78
2001,9.42
2002,9.17
2003,9.83
2004,11.1
2005,10.43
2006,10.33
2007,10.32
2008,11.66
2009,11.59
2010,11.21
2101,9.63
2102,8.86
2103,9.62
2104,9.38
2105,10.96
2106,11.48
2107,9.67
2108,9.77
2109,11.6
2201,12.64
2202,13.91
2203,11.34
2204,13.66
2205,14.27
2206,13.64
2207,11.07
2208,8.85
2209,9.74
2210,13.34
2301,18.21
2302,15.33
2303,15.53
2304,13.94
2305,12.57
2306,12.87
2401,5.77
2402,7.09
2403,4.96
2404,6.4
2405,5.83
2406,6.48
2407,6.43
2501,11.52
2502,13.22
2503,12.44
2505,13.38
2506,13.25
2507,10.53
2508,11.08
2509,11.66
2601,2.4
2602,4.08
2603,1.8
2604,0.59
2701,17.36
2702,19.91
2801,20.19
2802,18.68
2803,17.55
2901,2.58
2902,5.78
2903,7.75
2904,5.26
2905,3.98
2906,5.4
2907,6.9
2908,4.32
3001,15.61
3002,18.36
3003,14.77
3004,16.0
3005,19.72
3006,15.34
3007,13.65
3008,11.58
3009,13.01
3010,13.58
3101,14.11
3102,14.81
3103,11.1
3104,12.61
3105,10.04
3106,14.0
3107,16.13
3108,15.39
3201,7.4
3202,5.46
3203,7.39
3204,7.59
3205,5.91
3206,6.07
3207,7.42
3208,7.9
3209,8.95
3301,8.65
3302,9.08
3303,12.04
3304,10.5
3305,11.16
3306,11.34
3307,11.82
3308,13.38
3309,13.34
3310,10.28
3401,7.27
3402,10.81
3403,11.85
3404,9.38
3405,11.43
3406,10.33
3407,7.81
3408,10.08
3409,11.89
3501,2.47
3502,2.35
3503,2.28
3504,3.43
3505,3.4
3506,1.27
3507,3.2
3508,4.96
3509,3.87
3601,18.04
3602,19.68
3603,18.45
3604,14.34
3605,14.25
3606,14.81
3607,14.17
3608,11.28
3609,12.44
3610,15.28
3701,17.93
3801,11.72
3802,9.64
3803,9.93
3804,13.79
3805,10.47
3806,12.23
3807,13.3
3901,7.63
3902,8.88
3903,11.02
3904,8.16
3905,7.75
3906,10.03
3907,10.64
3908,12.36
3909,12.38
4001,15.72
4002,13.11
4003,12.71
4004,14.47
4101,8.81
4102,8.44
4103,7.8
4104,9.53
4105,6.08
4106,5.46
4107,2.62
4108,5.9
4109,1.32
4110,2.13
4201,2.82
4202,0.75
4203,3.68
4204,1.93
4205,5.34
4206,2.81
4207,1.25
4301,15.82
4302,16.17
4303,18.85
4401,14.48
4402,12.99
4403,13.62
4404,11.94
4405,12.02
4406,14.73
4501,3.24
4502,1.44
4503,1.95
4504,2.98
4505,4.05
4506,2.08
4507,1.59
4508,0.71
4509,3.87
4510,3.23
4601,11.77
4602,12.76
4603,15.13
4604,14.15
4605,14.56
4606,11.8
4701,9.65
4702,9.22
4703,7.68
4704,12.78
4705,10.3
4706,8.13
4707,13.53
4708,11.42
4709,10.6
4801,7.56
4802,7.97
4803,4.79
4804,5.72
4805,6.45
4806,7.06
4807,6.35
4808,6.76
4809,5.41
4810,4.5
