id,value,anomaly
101,78.5667,1.13
102,78.1333,0.8877
103,79.9,0.8777
104,78.9667,1.061
105,78.6,0.935
106,80.8333,1.0077
107,80.6,0.6887
108,81.3,0.8833
201,83.6,3.4717
202,73.4333,3.4643
203,78.5333,3.0143
204,78.5,2.7237
205,91.6,3.1417
206,88.8333,2.5603
207,81.1667,2.3687
301,77.1667,1.533
302,78.0,1.6163
303,80.1667,1.6223
304,79.8667,1.7883
305,81.0333,1.6903
306,81.1,1.1457
307,81.3,1.68
308,81.6,1.4333
309,81.0667,0.81
401,67.3,2.8657
402,72.0,2.9927
403,64.6667,3.3553
404,70.3333,3.3027
405,74.9,3.322
406,73.7333,4.4507
407,86.2333,4.2373
501,71.3667,2.3033
502,65.2667,4.3373
503,72.8333,1.4213
504,66.7667,2.2887
505,60.7,3.2033
601,69.6333,3.0593
602,71.7333,3.3473
603,73.1,3.656
701,75.5667,2.4943
702,76.3,2.9263
801,81.2,0.8563
802,81.4667,1.414
803,81.8667,1.426
804,82.5,1.8737
805,83.0667,1.872
806,83.0,2.091
807,83.6667,1.6077
901,77.4,0.3613
902,75.9333,0.32
903,77.6333,0.7253
904,79.1667,1.2613
905,80.0667,0.8243
906,80.3333,1.0453
907,80.2667,0.3143
908,80.7667,1.0157
909,81.9,1.747
1001,62.0333,1.8433
1002,63.2333,1.2153
1003,66.1,0.9913
1004,59.8333,1.763
1005,71.9667,2.0947
1006,67.0333,1.8837
1007,69.4333,2.475
1008,59.8333,1.932
1009,65.9667,1.7347
1010,64.0667,2.2027
1101,72.6,1.349
1102,72.5333,1.5617
1103,75.3,1.5843
1104,74.4,1.4987
1105,73.8333,1.536
1106,76.0667,1.357
1107,75.5333,1.2137
1108,77.6333,1.699
1109,76.9667,1.1327
1201,72.6,1.4937
1202,72.6,1.75
1203,72.1,1.4543
1204,74.0333,1.355
1205,73.6,1.2437
1206,72.8667,1.454
1207,76.4,1.5213
1208,75.0333,1.2313
1209,74.9,1.4913
1301,71.8,1.3277
1302,71.1333,1.1533
1303,71.0667,1.4433
1304,72.4667,0.8157
1305,72.8333,1.264
1306,72.8,1.2917
1307,73.8,0.7573
1308,74.5667,1.5033
1309,74.2667,1.0967
1401,74.9,0.887
1402,76.7333,0.6397
1403,77.6667,2.0273
1404,76.2,1.0997
1405,78.4667,1.2927
1406,78.5333,2.096
1407,77.5667,0.8957
1408,78.5667,0.347
1409,78.4333,0.665
1501,78.1333,1.5293
1502,76.5667,1.5983
1503,75.3,1.6003
1504,74.4,1.208
1601,83.7,2.6177
1602,82.2667,1.894
1603,81.3667,0.6677
1604,82.3333,1.5547
1605,82.0333,0.7433
1606,82.1,1.4543
1607,82.9667,1.2763
1608,82.7,1.4367
1609,83.2667,1.883
1701,63.9333,2.5123
1702,66.9,2.4833
1703,66.7667,2.8513
1801,77.2,3.0207
1802,77.2,2.8517
1803,76.9,2.1827
1804,76.6333,2.228
1805,76.4333,2.4277
1806,74.3667,1.827
1807,72.6667,1.2997
1808,67.3667,1.4017
1901,68.1333,2.956
1902,71.1667,3.5253
1903,71.1333,3.2827
2001,64.4333,2.1447
2002,64.9,2.5817
2003,68.3667,3.8803
2004,67.8667,3.421
2005,69.5333,3.1083
2006,69.8333,3.005
2007,70.2667,2.9413
2008,71.2,2.0617
2009,71.2,2.3403
2010,71.7,2.7753
2101,67.8333,2.147
2102,66.0333,2.068
2103,63.6333,1.9463
2104,69.9,1.7347
2105,69.5,1.4123
2106,67.7333,1.694
2107,70.4,1.1653
2108,70.9667,1.31
2109,70.5333,1.886
2201,81.0,0.6857
2202,80.3,0.9243
2203,79.6667,1.0243
2204,81.3,0.6627
2205,80.5,1.037
2206,80.9667,1.5207
2207,81.5333,1.2987
2208,81.0667,1.0903
2209,81.1,1.2573
2210,81.2,1.1617
2301,76.7333,1.8553
2302,76.9333,1.897
2303,77.9667,1.6887
2304,77.6667,1.887
2305,76.9333,1.6793
2306,79.3333,1.2483
2401,59.6,1.4643
2402,58.6,1.4397
2403,64.1667,1.011
2404,62.4333,0.2107
2405,63.6667,0.3267
2406,67.2667,1.1103
2407,67.8667,0.279
2501,69.5333,0.738
2502,70.9667,0.2493
2503,72.3,0.1027
2505,72.4333,0.326
2506,74.2333,0.7413
2507,72.8667,0.2777
2508,74.3333,0.406
2509,75.2333,0.573
2601,71.4,3.4303
2602,67.7667,3.3203
2603,74.6333,4.9087
2604,87.2333,4.275
2701,64.1,2.3937
2702,68.2333,3.0533
2801,72.7333,3.19
2802,75.3333,3.0527
2803,75.2,3.5113
2901,72.1667,3.7017
2902,67.4,3.0753
2903,76.1,2.3887
2904,68.7667,2.9357
2905,77.0667,3.295
2906,70.9333,3.6347
2907,79.2333,3.5573
2908,79.5333,3.1667
3001,67.5333,2.0033
3002,67.4333,2.0197
3003,64.8667,2.5843
3004,73.4,3.0337
3005,71.3,3.0107
3006,68.4,2.0433
3007,67.3,2.619
3008,68.1333,3.068
3009,69.7333,2.696
3010,68.9333,1.913
3101,71.3667,1.2303
3102,72.3667,1.6293
3103,77.1,1.752
3104,77.6,1.7743
3105,79.1,2.2143
3106,79.7,2.0383
3107,79.1667,1.7267
3108,78.2333,1.728
3201,67.1333,2.0267
3202,67.6667,2.428
3203,68.0667,2.8143
3204,68.1667,1.666
3205,68.1,1.8523
3206,68.7333,1.5933
3207,67.7,1.0637
3208,69.0,1.551
3209,68.9,1.3243
3301,73.3333,2.1087
3302,72.9667,2.1683
3303,71.5667,2.903
3304,72.8,1.5467
3305,73.1667,1.6973
3306,71.8667,2.2533
3307,71.8,2.3587
3308,74.1667,1.8313
3309,74.0333,1.7617
3310,72.6667,1.5993
3401,78.1667,0.7557
3402,80.5667,0.7927
3403,79.9333,0.5487
3404,81.7333,1.955
3405,81.1333,0.7453
3406,80.7333,0.8133
3407,83.9333,2.6207
3408,83.0667,1.7913
3409,80.8333,1.6463
3501,62.9,2.8647
3502,65.6667,3.0367
3503,65.9667,3.1437
3504,60.7667,2.8123
3505,61.0667,2.912
3506,67.7333,2.654
3507,64.2667,2.7897
3508,62.3333,1.956
3509,68.8667,2.4473
3601,68.6333,2.371
3602,71.3333,2.7017
3603,74.0,2.608
3604,73.0667,1.9663
3605,70.9,1.653
3606,67.9333,1.867
3607,68.5,1.306
3608,70.3333,1.3433
3609,70.3,1.389
3610,68.4,2.195
3701,71.6,3.7157
3801,75.5,0.841
3802,78.3,1.055
3803,79.3667,1.561
3804,80.7,1.96
3805,79.9667,1.1353
3806,81.0,1.9477
3807,81.1,1.7273
3901,69.1667,0.9083
3902,70.1333,1.0873
3903,70.0667,1.7573
3904,65.0,0.3397
3905,70.7333,0.511
3906,71.8667,0.8507
3907,70.3667,0.995
3908,71.7333,0.4777
3909,72.0,0.6443
4001,75.1,0.9703
4002,74.9,1.319
4003,77.8333,1.5967
4004,79.4667,1.5263
4101,80.0667,2.5253
4102,84.3,2.722
4103,85.2667,2.771
4104,83.6667,2.0247
4105,82.4333,3.1827
4106,84.3333,2.8013
4107,85.1667,2.1017
4108,84.3667,2.191
4109,86.7333,1.9137
4110,86.8667,2.277
