id,value
101,18.18
102,19.97
103,18.23
104,19.09
105,20.04
106,20.06
107,25.66
108,32.75
201,3.66
202,4.12
203,5.74
204,6.6
205,1.0
206,3.54
207,6.1
301,13.65
302,14.08
303,13.59
304,18.17
305,14.74
306,13.97
307,17.26
308,14.78
309,17.73
401,1.07
402,0.84
403,1.63
404,0.07
405,0.36
406,0.32
407,0.57
501,8.28
502,3.46
503,8.41
504,4.84
505,5.5
601,11.26
602,10.9
603,8.88
701,15.82
702,19.04
801,26.67
802,28.24
803,27.01
804,28.35
805,31.95
806,26.58
807,17.59
901,13.5
902,16.21
903,13.46
904,16.24
905,13.54
906,14.23
907,17.34
908,16.96
909,18.31
1001,1.96
1002,2.19
1003,2.1
1004,2.94
1005,1.31
1006,2.03
1007,0.96
1008,3.5
1009,1.92
1010,2.43
1101,14.23
1102,13.76
1103,10.02
1104,9.15
1105,11.26
1106,9.08
1107,8.51
1108,8.39
1109,8.37
1201,13.04
1202,13.47
1203,11.75
1204,12.46
1205,14.27
1206,13.86
1207,10.36
1208,11.75
1209,13.72
1301,10.05
1302,10.65
1303,14.1
1304,11.13
1305,8.5
1306,11.65
1307,11.05
1308,7.6
1309,7.06
1401,7.92
1402,6.69
1403,10.81
1404,7.49
1405,6.15
1406,15.23
1407,7.68
1408,7.13
1409,13.77
1501,11.71
1502,13.43
1503,14.13
1504,15.93
1601,18.16
1602,17.49
1603,17.28
1604,29.24
1605,22.47
1606,28.11
1607,37.48
1608,31.74
1609,32.47
1701,10.15
1702,7.96
1703,6.93
1801,19.04
1802,17.16
1803,15.1
1804,15.24
1805,14.51
1806,14.12
1807,13.1
1808,17.17
1901,11.91
1902,11.02
1903,9.7
2001,13.33
2002,14.49
2003,10.92
2004,11.0
2005,10.94
2006,10.97
2007,10.94
2008,9.18
2009,7.42
2010,8.68
2101,6.97
2102,9.28
2103,12.98
2104,12.97
2105,13.62
2106,13.94
2107,13.52
2108,12.04
2109,13.29
2201,14.74
2202,14.05
2203,13.13
2204,17.32
2205,19.14
2206,15.61
2207,25.18
2208,28.25
2209,26.59
2210,35.88
2301,14.95
2302,11.41
2303,16.81
2304,12.71
2305,10.42
2306,9.86
2401,3.19
2402,3.9
2403,2.12
2404,2.22
2405,2.86
2406,1.74
2407,2.18
2501,5.49
2502,8.6
2503,10.21
2505,9.91
2506,12.09
2507,6.86
2508,8.83
2509,8.39
2601,1.44
2602,1.95
2603,1.89
2604,1.73
2701,14.08
2702,12.16
2801,14.23
2802,15.15
2803,14.57
2901,3.01
2902,7.17
2903,10.06
2904,5.55
2905,4.59
2906,6.95
2907,7.55
2908,6.3
3001,11.51
3002,13.65
3003,16.57
3004,10.12
3005,11.81
3006,14.96
3007,13.0
3008,15.67
3009,12.82
3010,13.36
3101,13.47
3102,11.89
3103,12.2
3104,11.66
3105,11.8
3106,16.96
3107,16.49
3108,16.8
3201,3.94
3202,6.41
3203,7.8
3204,5.01
3205,7.88
3206,7.19
3207,3.77
3208,6.95
3209,8.06
3301,12.46
3302,12.05
3303,9.87
3304,13.72
3305,14.4
3306,13.04
3307,12.2
3308,13.69
3309,13.39
3310,15.83
3401,7.4
3402,9.84
3403,12.55
3404,10.31
3405,11.76
3406,17.97
3407,12.45
3408,15.11
3409,19.45
3501,3.16
3502,2.03
3503,1.59
3504,2.97
3505,1.49
3506,1.06
3507,1.09
3508,2.01
3509,1.52
3601,13.57
3602,17.89
3603,16.19
3604,14.55
3605,15.33
3606,13.27
3607,13.15
3608,14.62
3609,16.19
3610,12.68
3701,9.25
3801,16.16
3802,11.57
3803,10.76
3804,16.23
3805,11.99
3806,13.34
3807,18.46
3901,4.99
3902,8.69
3903,9.0
3904,6.54
3905,4.81
3906,7.28
3907,10.82
3908,7.48
3909,8.81
4001,12.78
4002,16.2
4003,16.12
4004,13.31
4101,9.69
4102,8.89
4103,13.74
4104,22.96
4105,6.9
4106,7.49
4107,16.46
4108,38.97
4109,4.28
4110,4.23
4201,1.51
4202,4.09
4203,1.6
4204,3.59
4205,2.98
4206,2.45
4207,2.46
4301,14.89
4302,13.66
4303,13.73
4401,15.58
4402,12.02
4403,10.34
4404,11.47
4405,11.4
4406,11.74
4501,4.39
4502,0.91
4503,1.64
4504,3.1
4505,3.58
4506,1.13
4507,0.52
4508,0.44
4509,1.16
4510,1.24
4601,16.24
4602,15.69
4603,14.37
4604,14.99
4605,11.24
4606,11.44
4701,13.99
4702,13.41
4703,14.94
4704,14.62
4705,13.74
4706,14.19
4707,15.64
4708,16.6
4709,15.18
4801,4.67
4802,4.48
4803,1.98
4804,2.73
4805,3.19
4806,5.45
4807,4.49
4808,2.99
4809,2.51
4810,2.25
