id,value,anomaly
101,79.8333,2.3967
102,79.5,2.2543
103,80.7667,1.7443
104,80.1,2.1943
105,79.8,2.135
106,81.7333,1.9077
107,81.4333,1.522
108,81.8,1.3833
201,83.3667,3.2383
202,72.8333,2.8643
203,78.6333,3.1143
204,78.2333,2.457
205,91.2333,2.775
206,89.0667,2.7937
207,80.4,1.602
301,76.2667,0.633
302,77.7,1.3163
303,80.0333,1.489
304,78.6667,0.5883
305,80.2333,0.8903
306,81.0667,1.1123
307,79.3,-0.32
308,80.1667,0.0
309,80.8667,0.61
401,65.8667,1.4323
402,70.4667,1.4593
403,64.0333,2.722
404,68.8,1.7693
405,73.5333,1.9553
406,72.0,2.7173
407,85.2333,3.2373
501,70.4333,1.37
502,64.5,3.5707
503,73.6,2.188
504,67.4,2.922
505,59.4,1.9033
601,67.5667,0.9927
602,69.4,1.014
603,70.4667,1.0227
701,74.7667,1.6943
702,75.3,1.9263
801,81.9667,1.623
802,81.5333,1.4807
803,82.1,1.6593
804,81.8667,1.2403
805,82.6,1.4053
806,82.4667,1.5577
807,83.9667,1.9077
901,78.7333,1.6947
902,76.9667,1.3533
903,77.9667,1.0587
904,79.3333,1.428
905,80.2667,1.0243
906,80.3333,1.0453
907,81.3,1.3477
908,81.1,1.349
909,81.2333,1.0803
1001,62.8,2.61
1002,64.8333,2.8153
1003,68.1333,3.0247
1004,61.7333,3.663
1005,73.6333,3.7613
1006,69.2333,4.0837
1007,71.3,4.3417
1008,62.3333,4.432
1009,68.4667,4.2347
1010,66.3,4.436
1101,72.3,1.049
1102,72.1333,1.1617
1103,74.6667,0.951
1104,74.0667,1.1653
1105,73.4,1.1027
1106,76.0,1.2903
1107,75.7667,1.447
1108,77.8333,1.899
1109,77.4,1.566
1201,71.9333,0.827
1202,71.8333,0.9833
1203,71.9333,1.2877
1204,73.5667,0.8883
1205,73.4,1.0437
1206,72.4667,1.054
1207,76.5,1.6213
1208,75.2,1.398
1209,74.9667,1.558
1301,72.2333,1.761
1302,71.1,1.12
1303,70.4,0.7767
1304,73.3667,1.7157
1305,72.9333,1.364
1306,72.5333,1.025
1307,74.6333,1.5907
1308,74.1333,1.07
1309,74.2333,1.0633
1401,75.7,1.687
1402,77.2,1.1063
1403,77.0667,1.4273
1404,76.4,1.2997
1405,77.8333,0.6593
1406,77.5333,1.096
1407,76.9667,0.2957
1408,77.9667,-0.253
1409,78.0333,0.265
1501,78.9,2.296
1502,76.9667,1.9983
1503,75.6,1.9003
1504,74.7,1.508
1601,80.9333,-0.149
1602,80.8,0.4273
1603,81.5333,0.8343
1604,80.7667,-0.012
1605,81.5667,0.2767
1606,81.3667,0.721
1607,81.7,0.0097
1608,81.8333,0.57
1609,82.3333,0.9497
1701,61.5,0.079
1702,64.9333,0.5167
1703,64.8,0.8847
1801,75.8333,1.654
1802,76.3,1.9517
1803,76.7333,2.016
1804,76.4667,2.0613
1805,75.6,1.5943
