name,acres,lon,lat,reporter,cause
TIMBERLINE,15238.0,-119.3345,48.3832,Colville Agency,Missing data/not specified/undetermined
COUNTY LINE,15000.0,-80.7139,26.3269,Florida Forest Service,Railroad operations and maintenance
SHEPARD MTN,14890.0,-109.655,45.17833333,Custer Gallatin National Forest,Natural
CUNNINGHAM,14854.0,-112.7255,38.4344,Cedar City Field Office,Natural
OTAY322,14720.0,-116.8435448,32.6439342,San Diego National Wildlife Refuge,Recreation and ceremony
GEARY D. 2,14700.0,-106.1339,42.8833,Casper Field Office,Natural
FLAT CR.,14440.0,-117.7404,41.7363,Winnemucca District Office,Natural
HILLBILLY,14200.0,-146.5323,63.9543,Alaska Fire Service,Arson/incendiarism
SHOEMAKE,13800.0,-114.2008,37.3333,Ely District Office,Natural
O'PINION,13775.0,-108.3645,40.3166,"Northwest District, Craig",Natural
HENRIETTA FIRE,13702.0,-98.1608162,33.64939727,Texas A & M Forest Service,Missing data/not specified/undetermined
KINGS 2,13469.0,-118.3013,41.911,Winnemucca District Office,Natural
CALABASAS,13190.0,-118.6843,34.1333,Santa Monica Mountains National Recreation Area,Power generation/transmission/distribution
NORTH MEMPHIS,13166.0,-100.52309226,34.8311658,Texas A & M Forest Service,Missing data/not specified/undetermined
OTA 21,13091.4,-116.04665,43.1861,Boise District,Natural
HAT BU,13087.0,-118.232451,43.298379,Vale District,Natural
POTTER 1,13000.0,-101.7744,35.5367,Lake Meredith National Recreation Area,Missing data/not specified/undetermined
LAKEWALCOT,12986.0,-113.8178,42.033,Twin  Falls District,Natural
631360,12760.0,-144.9025,65.5663,Alaska Fire Service,Debris and open burning
WOLFSKILL,12395.0,-116.9011,33.8692,California Desert District,Debris and open burning
ACKERSON,12371.0,-119.82666667,37.855,Stanislaus National Forest,Natural
SUSIE,12290.0,-116.0509,40.8332,Elko District Office,Natural
POOLVILLE FIRE,12201.0,-97.85518046,33.00547292,Texas A & M Forest Service,Missing data/not specified/undetermined
INEL#5,12107.0,-112.6897,43.4707,Idaho Falls District,Natural
BUFFALO CREEK,11875.0,-105.33833333,39.33833333,Pike and San Isabel National Forest,Recreation and ceremony
CHERRY CK,11482.3,-112.4008,39.7333,Richfield Field Office,Natural
ELBA,11320.0,-113.5842,42.2666,Twin  Falls District,Debris and open burning
ROCKY FORD,10986.7,-118.7841,43.1702,Burns District,Natural
GRAND,10925.0,-118.9375,34.45944444,Los Padres National Forest,Power generation/transmission/distribution
HIGHWAY 70 FIRE,10771.0,-100.77775999,35.94509183,Texas A & M Forest Service,Missing data/not specified/undetermined
SPAULDING2,10486.0,-117.7093,40.5896,Winnemucca District Office,Arson/incendiarism
HONEY BOY,10476.0,-112.9861,38.3319,Cedar City Field Office,Natural
POLE CREEK,10405.2,-112.38666667,38.185,Fishlake National Forest,Natural
CHARLTON,10400.0,-122.035,43.79666667,Willamette National Forest,Natural
WINDY CREE,10331.0,-147.5525,65.5996,Alaska Fire Service,Natural
NORTH WAPI,10201.0,-113.1508,42.6499,Twin  Falls District,Natural
WILDCAT,10146.2,-118.74166667,44.295,Malheur National Forest,Natural
SLOANS RIDGE,10137.0,-118.29388889,44.90027778,Wallowa-Whitman National Forest,Natural
ROLLOVER,10095.0,-107.3673,45.5,Crow Agency,Equipment and vehicle use
