id,value,anomaly
101,74.4,-3.0367
102,74.7,-2.5457
103,76.4333,-2.589
104,75.5667,-2.339
105,75.9,-1.765
106,77.8,-2.0257
107,78.2667,-1.6447
108,79.5333,-0.8833
201,79.8,-0.3283
202,68.5333,-1.4357
203,74.6333,-0.8857
204,74.3,-1.4763
205,88.4,-0.0583
206,85.5667,-0.7063
207,77.8,-0.998
301,72.0333,-3.6003
302,73.3667,-3.017
303,75.9,-2.6443
304,74.8,-3.2783
305,76.2667,-3.0763
306,77.2667,-2.6877
307,76.2667,-3.3533
308,77.2667,-2.9
309,77.9,-2.3567
401,66.2667,1.8323
402,69.9667,0.9593
403,61.9667,0.6553
404,68.7333,1.7027
405,71.9667,0.3887
406,71.2333,1.9507
407,82.0,0.004
501,66.1667,-2.8967
502,60.0667,-0.8627
503,67.7333,-3.6787
504,62.2667,-2.2113
505,55.9,-1.5967
601,64.7333,-1.8407
602,66.7333,-1.6527
603,68.1333,-1.3107
701,71.5,-1.5723
702,71.8333,-1.5403
801,79.7,-0.6437
802,80.5,0.4473
803,81.2333,0.7927
804,81.5333,0.907
805,82.0667,0.872
806,81.9667,1.0577
807,83.2667,1.2077
901,74.1333,-2.9053
902,73.0667,-2.5467
903,74.7667,-2.1413
904,76.2333,-1.672
905,77.7333,-1.509
906,78.4333,-0.8547
907,79.1667,-0.7857
908,79.3,-0.451
909,80.0,-0.153
1001,62.1,1.91
1002,63.7,1.682
1003,66.8,1.6913
1004,59.1333,1.063
1005,70.6667,0.7947
1006,65.7333,0.5837
1007,67.6667,0.7083
1008,58.0667,0.1653
1009,64.3667,0.1347
1010,61.9667,0.1027
1101,67.1333,-4.1177
1102,67.0667,-3.905
1103,69.8,-3.9157
1104,69.6,-3.3013
1105,68.9,-3.3973
1106,71.5667,-3.143
1107,71.6667,-2.653
1108,73.4333,-2.501
1109,73.1667,-2.6673
1201,67.3333,-3.773
1202,67.0333,-3.8167
1203,66.9667,-3.679
1204,69.2667,-3.4117
1205,68.6333,-3.723
1206,67.9,-3.5127
1207,71.9667,-2.912
1208,70.7333,-3.0687
1209,70.2,-3.2087
1301,65.8,-4.6723
1302,65.6667,-4.3133
1303,65.2667,-4.3567
1304,67.1667,-4.4843
1305,67.4,-4.1693
1306,67.7333,-3.775
1307,68.4667,-4.576
1308,68.6,-4.4633
1309,69.2,-3.97
1401,69.1333,-4.8797
1402,70.8667,-5.227
1403,71.0,-4.6393
1404,70.2667,-4.8337
1405,72.1667,-5.0073
1406,71.7667,-4.6707
1407,71.8333,-4.8377
1408,73.6667,-4.553
1409,73.0,-4.7683
1501,73.7333,-2.8707
1502,72.1333,-2.835
1503,70.8,-2.8997
1504,70.7,-2.492
1601,78.6667,-2.4157
1602,78.1333,-2.2393
1603,78.7,-1.999
1604,78.9,-1.8787
1605,79.7333,-1.5567
1606,79.4667,-1.179
1607,80.3333,-1.357
1608,80.2667,-0.9967
1609,80.7667,-0.617
1701,60.1333,-1.2877
1702,63.3667,-1.05
1703,63.3667,-0.5487
1801,72.8333,-1.346
1802,72.8,-1.5483
1803,72.6,-2.1173
1804,72.8,-1.6053
1805,72.6667,-1.339
1806,71.0667,-1.473
1807,69.2333,-2.1337
1808,64.0333,-1.9317
1901,63.0667,-2.1107
1902,65.9333,-1.708
1903,66.9667,-0.884
2001,58.5667,-3.722
2002,58.9,-3.4183
2003,60.7,-3.7863
2004,60.5667,-3.879
2005,62.2,-4.225
2006,62.7333,-4.095
2007,63.4,-3.9253
2008,64.9,-4.2383
2009,64.7,-4.1597
2010,65.1,-3.8247
2101,61.2,-4.4863
2102,59.8,-4.1653
2103,57.8667,-3.8203
2104,63.2,-4.9653
2105,63.5667,-4.521
2106,61.9667,-4.0727
2107,63.9667,-5.268
2108,64.8333,-4.8233
