name,acres,lon,lat,reporter,cause
SURVEY LIN,112112.0,-148.2055,64.6618,Alaska Fire Service,Missing data/not specified/undetermined
FISH CREEK,84730.0,-148.9524,64.3329,Alaska Fire Service,Debris and open burning
SHEEP,83723.0,-116.8443,40.8116,Elko District Office,Natural
BIG JUNIPE,80548.0,-119.9077,42.9279,Lakeview District,Natural
SPAULDING,75137.0,-117.9346,40.6157,Winnemucca District Office,Natural
HOT LAKE,71934.4,-116.7179,41.1132,Elko District Office,Natural
MOOSE,71000.0,-114.35027778,48.58583333,Flathead National Forest,Natural
OBSERVATIO,67792.0,-120.24028,40.77277,Northern California District,Natural
JACKIESBTE,67052.0,-117.4971,42.629,Vale District,Natural
DIXIE/LAFAYETTE,57200.0,-83.0944,29.8606,Florida Forest Service,Natural
REX CREEK COMPLEX,55913.0,-120.49805556,48.20055556,Okanogan-Wenatchee National Forest,Natural
CLEAR CRK,53317.0,-116.0301,39.6727,Winnemucca District Office,Natural
UPPER WILLOW CREEK,41830.0,-117.19805556,41.66388889,Humboldt-Toiyabe National Forest,Power generation/transmission/distribution
SHEEPSHEAD,41123.5,-118.2254,42.4888,Burns District,Natural
FORT RANCH,40000.0,-112.500833,41.536944,Northwest Area,Natural
UNCLE JOE'S COMMAND,38100.0,-80.983333,26.8,Florida Forest Service,Missing data/not specified/undetermined
VIRGINIA L,36775.0,-119.5734,48.2749,Colville Agency,Natural
BLUE,34319.0,-120.31166667,41.15944444,Modoc National Forest,Natural
ST MARY'S,32960.0,-119.4387,48.3457,Colville Agency,Smoking
MONUMENT COMPLEX,32352.0,-119.44375,44.92744,John Day Unit,Natural
FRIDLEY,26873.0,-110.85777778,45.38611111,Custer Gallatin National Forest,Natural
WEST BRANCH - 1,25000.0,-102.9,30.16667002,Texas A & M Forest Service,Missing data/not specified/undetermined
MARKHAM PARK,25000.0,-80.3539,26.1967,Florida Forest Service,Natural
TROUGH,24970.0,-122.635,39.375,Mendocino National Forest,Missing data/not specified/undetermined
BEARISLAND,24315.0,-81.24764,26.18851,Big Cypress National Preserve,Recreation and ceremony
SNOWSHOE,23647.0,-115.37166667,44.63833333,Salmon-Challis National Forest,Natural
FISH,22674.0,-119.9883,40.0638,Carson City District Office,Natural
BUFFALOCMP,21187.7,-116.6676,41.2832,Elko District Office,Natural
CR 222 FIRE,20263.0,-99.39482585,33.23856085,Texas A & M Forest Service,Missing data/not specified/undetermined
MALLORY SWAMP,20000.0,-83.083333,29.866666,Florida Forest Service,Natural
RANCH,19643.9,-117.0371,41.208,Battle Mountain District Office,Natural
STAG,19578.0,-115.4701,41.3288,Elko District Office,Natural
FERRY CYN,18559.0,-120.9448,45.3954,Prineville District,Natural
WILLOWCREK,18046.6,-114.5839,43.396,Twin  Falls District,Debris and open burning
PARK FIRE,17000.0,-81.1475,27.5483,Florida Forest Service,Railroad operations and maintenance
STAR,16761.0,-120.51861111,39.05,Eldorado National Forest,Missing data/not specified/undetermined
HORSE CREEK,16459.0,-116.77055556,45.66944444,Wallowa-Whitman National Forest,Natural
ELK MOUNTAIN #2,14990.0,-104.08333333,43.7125,Black Hills National Forest,Natural
FOUR MILE,14700.0,-80.5272,25.9061,Florida Forest Service,Natural
