name,acres,lon,lat,reporter,cause
599 GLACIER CREEK,8600.0,-150.5833,60.1,Kenai National Wildlife Refuge,Recreation and ceremony
SEDGWICK,8595.0,-108.14611111,35.19805556,Cibola National Forest,Misuse of fire by a minor
MATAGUAY,8500.0,-116.7,33.2333,California Desert District,Arson/incendiarism
NICKEL,8404.0,-114.14,36.5875,Southern Nevada District Office,Natural
TOKOMA BLUFF,8304.0,-144.0063,65.5355,Alaska Fire Service,Natural
ROTENBERGER FIRE,8000.0,-80.77723002,26.33388998,Florida Forest Service,Equipment and vehicle use
HAWKINS 1,8000.0,-113.91027778,37.46166667,Dixie National Forest,Natural
THREE FORKS,7905.0,-109.33861111,33.85444444,Apache-Sitgreaves National Forest,Smoking
GREASEWOOD,7815.0,-108.189,39.9508,"Northwest District, Craig",Natural
FREDS,7700.0,-120.26,38.78,Eldorado National Forest,Power generation/transmission/distribution
EAST FIRE,7600.0,-80.53110998,26.26944001,Florida Forest Service,Natural
GAVIOTA,7440.0,-120.22694444,34.50777778,Los Padres National Forest,Missing data/not specified/undetermined
DAWSON 31,7413.2,-141.0084,64.8047,Alaska Fire Service,Natural
LOUISBURGRADE,7330.5,-96.19824457,45.20893453,Minnesota Department of Natural Resources,Arson/incendiarism
WALDRON,7022.0,-149.459,65.8757,Alaska Fire Service,Equipment and vehicle use
KRAUSE,7000.0,-96.414121,39.394116,Kansas Forest Service,Missing data/not specified/undetermined
WOOD RIVER,6993.0,-148.4691,64.5329,Alaska Fire Service,Natural
MUD FORK 2,6947.0,-149.3161,65.4698,Alaska Fire Service,Natural
WILLOW CR,6937.0,-147.7374,64.5079,Alaska Fire Service,Natural
SQUARE2,6527.0,-113.8391,37.3233,Cedar City Field Office,Natural
CLIFF CK,6352.2,-163.0446,64.9276,Alaska Fire Service,Natural
MYRTLE CRE,6271.0,-148.5858,65.5662,Alaska Fire Service,Natural
FOOTHILL,6061.0,-118.51583333,34.335,Angeles National Forest,Power generation/transmission/distribution
UPPER HEALY RIVER,6035.0,-143.83330001,64.13333,Delta Area,Natural
UNIT 3-04-1W,6018.0,-93.4589,29.9531,Sabine National Wildlife Refuge,Arson/incendiarism
GATOR FIRE,6000.0,-80.61027999,26.13943998,Florida Forest Service,Equipment and vehicle use
WEST FORK,5825.7002,-155.41670003,63.31667002,Southwest Area,Natural
ROCK CREEK,5750.0,-144.51669999,64.53332998,Delta Area,Natural
GRANNY,5649.0,-108.31166667,33.09861111,Gila National Forest,Natural
MEADOW,5633.0,-119.5702,37.6569,Yosemite National Park,Natural
CEDAR CREE,5500.0,-96.2831,36.767,Osage Agency,Missing data/not specified/undetermined
LOOKOUT,5280.0,-105.79722222,34.30305556,Cibola National Forest,Recreation and ceremony
CITRUS,5243.0,-112.8138,32.9906,Phoenix District Office,Debris and open burning
CHROME,5163.0,-115.5009,39.9499,Ely District Office,Natural
UNIT 1 WF,5150.0,-94.22861111,29.63277778,McFaddin National Wildlife Refuge,Missing data/not specified/undetermined
HOPKINS CA,5072.0,-119.1684,48.149,Colville Agency,Natural
MINERAL,5000.0,-120.4002,39.0488,Central California District,Arson/incendiarism
FKU 7654                 ,5000.0,-116.945,36.31194444,Fresno-Kings Unit,Debris and open burning
CACHE,4864.0,-145.0733,65.6291,Alaska Fire Service,Natural
PINE PARK 2,4799.0,-114.01666667,37.54611111,Dixie National Forest,Natural
SIX MILE,4762.0,-111.60138889,39.18972222,Manti-Lasal National Forest,Natural
BLAND MT 2,4705.0,-123.1287,42.9526,Roseburg District,Missing data/not specified/undetermined
BASIN DRAW,4700.0,-104.267778,44.662222,Crook County,Missing data/not specified/undetermined
WEBBER,4311.0,-111.3675,34.42611111,Tonto National Forest,Recreation and ceremony
GRASSY,4232.0,-120.13638889,42.39416667,Fremont-Winema National Forest,Natural
BEEBE,4205.0,-119.9759,47.8179,Spokane District,Power generation/transmission/distribution
CAMPBELL,4187.0,-108.6087,38.408,"Southwest District, Montrose",Natural
SANTA FE SWAMP FIRE,4170.0,-82.127778,29.796389,Florida Forest Service,Missing data/not specified/undetermined
BEAR CREEK,4066.0,-159.5775,63.8626,Alaska Fire Service,Natural
CHANDALAR,4061.0,-143.6383,67.2166,Alaska Fire Service,Natural
SIMS,4030.0,-123.57111111,40.71833333,Six Rivers National Forest,Power generation/transmission/distribution
MUD LAKE,4000.0,-120.835134,46.775165,Washington State Department of Natural Resources Headquarters,Recreation and ceremony
HILLSBORO CANAL,4000.0,-80.40926,26.42543,Arthur R. Marshall/Loxahatchee National Wildlife Refuge,Natural
WEST FIRE,3900.0,-80.56389001,26.28389001,Florida Forest Service,Natural
TOMMY LK,3879.0,-142.7526,66.2664,Alaska Fire Service,Natural
VERBENIA,3833.0,-116.70694444,33.90416667,San Bernardino National Forest,Missing data/not specified/undetermined
THE EAST 41ST STREET FIRE,3800.0,-80.42694002,25.84805997,Florida Forest Service,Natural
DEEP CREEK,3740.0,-103.5425,46.47861111,Dakota Prairie National Grasslands,Equipment and vehicle use
MELTON,3667.0,-116.9178,33.6014,California Desert District,Equipment and vehicle use
HIGH PLAINS - 1,3500.0,-101.55860001,35.22305997,Texas A & M Forest Service,Missing data/not specified/undetermined
HWY 4 #2                 ,3443.0,-120.73305555,37.93694444,Tuolumne-Calaveras Unit,Missing data/not specified/undetermined
TATALINA 2,3442.0,-148.8833,65.1268,Alaska Fire Service,Natural
STRAYLOR,3422.0,-121.11722222,40.83416667,Lassen National Forest,Equipment and vehicle use
BIG CANYON,3415.0,-110.0824,39.43,Moab Field Office,Natural
BLUFF,3413.0,-121.3808,40.4738,Lassen Volcanic National Park,Natural
THOMPSON PARK FIRE,3400.0,-80.45222002,25.92249998,Florida Forest Service,Missing data/not specified/undetermined
