id,value
101,10.82
102,8.31
103,10.69
104,8.8
105,10.21
106,11.34
107,12.2
108,14.25
201,1.65
202,3.07
203,3.26
204,4.22
205,0.86
206,2.94
207,6.04
301,11.78
302,10.06
303,8.11
304,9.66
305,9.13
306,8.05
307,7.74
308,9.25
309,9.0
401,2.29
402,2.23
403,1.81
404,0.36
405,0.85
406,0.43
407,0.39
501,6.31
502,3.62
503,9.03
504,5.62
505,6.08
601,8.7
602,8.55
603,7.44
701,8.64
702,8.65
801,13.61
802,14.0
803,14.43
804,15.52
805,18.45
806,16.9
807,11.48
901,6.68
902,8.13
903,5.31
904,8.1
905,7.52
906,8.5
907,11.28
908,13.16
909,12.49
1001,8.51
1002,8.12
1003,7.61
1004,8.49
1005,3.69
1006,3.65
1007,3.48
1008,7.43
1009,5.55
1010,6.76
1101,21.45
1102,18.92
1103,23.86
1104,21.14
1105,19.16
1106,17.75
1107,15.61
1108,14.61
1109,13.16
1201,17.52
1202,14.39
1203,13.45
1204,16.55
1205,15.11
1206,14.09
1207,12.25
1208,13.75
1209,13.19
1301,20.72
1302,25.82
1303,26.47
1304,22.91
1305,31.1
1306,29.52
1307,28.83
1308,27.66
1309,28.7
1401,17.89
1402,26.7
1403,25.16
1404,15.54
1405,22.45
1406,20.28
1407,10.96
1408,13.72
1409,12.85
1501,10.44
1502,10.28
1503,13.56
1504,13.32
1601,13.42
1602,11.57
1603,11.36
1604,10.79
1605,12.56
1606,15.96
1607,16.06
1608,15.2
1609,17.06
1701,10.73
1702,7.81
1703,7.56
1801,7.76
1802,8.45
1803,7.92
1804,8.25
1805,7.33
1806,9.81
1807,8.66
1808,10.59
1901,8.85
1902,7.51
1903,4.82
2001,9.48
2002,11.13
2003,11.97
2004,11.03
2005,13.01
2006,12.32
2007,9.8
2008,15.59
2009,13.32
2010,9.85
2101,15.68
2102,14.48
2103,15.09
2104,15.2
2105,17.79
2106,15.53
2107,22.88
2108,23.55
2109,20.93
2201,10.13
2202,11.43
2203,11.75
2204,10.48
2205,11.38
2206,9.43
2207,12.29
2208,16.77
2209,16.01
2210,19.85
2301,26.05
2302,23.11
2303,20.18
2304,16.2
2305,14.66
2306,9.5
2401,10.55
2402,11.15
2403,11.47
2404,13.06
2405,9.87
2406,13.06
2407,12.08
2501,10.1
2502,13.84
2503,18.3
2505,20.28
2506,21.65
2507,14.43
2508,23.41
2509,25.93
2601,2.25
2602,2.77
2603,1.59
2604,0.93
2701,12.3
2702,9.18
2801,8.42
2802,9.87
2803,9.33
2901,3.79
2902,7.96
2903,9.24
2904,7.4
2905,6.26
2906,7.96
2907,6.88
2908,5.57
3001,9.07
3002,9.11
3003,10.15
3004,6.58
3005,7.55
3006,11.44
3007,9.15
3008,10.57
3009,9.39
3010,8.99
3101,8.99
3102,8.03
3103,8.96
3104,7.69
3105,8.27
3106,11.14
3107,10.69
3108,8.39
3201,15.01
3202,15.54
3203,17.71
3204,14.18
3205,18.33
3206,16.27
3207,11.86
3208,16.88
3209,15.49
3301,10.04
3302,7.9
3303,9.74
3304,13.36
3305,11.19
3306,9.16
3307,9.54
3308,10.32
3309,9.21
3310,9.51
3401,8.5
3402,10.11
3403,10.47
3404,8.4
3405,7.16
3406,7.27
3407,8.47
3408,7.43
3409,7.61
3501,6.93
3502,6.67
3503,5.48
3504,9.25
3505,3.71
3506,3.39
3507,3.96
3508,6.62
3509,3.42
3601,8.48
3602,11.15
3603,10.33
3604,9.88
3605,9.85
3606,9.46
3607,10.25
3608,9.49
3609,10.59
3610,10.75
3701,6.41
3801,7.51
3802,4.84
3803,6.63
3804,10.2
3805,6.52
3806,8.92
3807,10.55
3901,12.58
3902,14.42
3903,16.81
3904,12.2
3905,11.46
3906,10.96
3907,15.53
3908,10.68
3909,16.74
4001,9.55
4002,8.98
4003,9.77
4004,9.82
4101,8.31
4102,6.37
4103,5.28
4104,10.02
4105,6.38
4106,5.37
4107,8.08
4108,11.07
4109,6.6
4110,9.35
4201,2.29
4202,1.79
4203,4.04
4204,2.79
4205,5.45
4206,2.17
4207,1.54
4301,12.22
4302,10.63
4303,9.72
4401,7.03
4402,7.54
4403,8.91
4404,8.6
4405,8.39
4406,9.99
4501,8.82
4502,4.62
4503,5.89
4504,9.13
4505,10.38
4506,5.76
4507,4.9
4508,2.01
4509,7.51
4510,4.61
4601,9.57
4602,8.94
4603,10.74
4604,9.79
4605,10.21
4606,8.53
4701,12.72
4702,13.48
4703,13.9
4704,18.59
4705,18.42
4706,15.69
4707,22.49
4708,18.68
4709,14.8
4801,8.02
4802,8.84
4803,4.62
4804,6.21
4805,7.98
4806,10.31
4807,7.8
4808,6.69
4809,6.79
4810,4.44
