id,value,anomaly
101,80.8667,3.43
102,80.9667,3.721
103,82.3333,3.311
104,81.7667,3.861
105,81.4,3.735
106,82.9333,3.1077
107,82.6667,2.7553
108,83.0333,2.6167
201,82.1667,2.0383
202,71.1333,1.1643
203,77.1667,1.6477
204,77.1667,1.3903
205,90.3667,1.9083
206,88.3333,2.0603
207,80.3667,1.5687
301,79.1667,3.533
302,80.3333,3.9497
303,82.6,4.0557
304,82.0,3.9217
305,83.1667,3.8237
306,83.8,3.8457
307,83.1,3.48
308,83.5667,3.4
309,83.9333,3.6767
401,64.8333,0.399
402,69.2,0.1927
403,61.6667,0.3553
404,67.0333,0.0027
405,71.9,0.322
406,69.3667,0.084
407,83.7,1.704
501,71.1333,2.07
502,62.6333,1.704
503,73.2,1.788
504,66.3,1.822
505,59.5,2.0033
601,69.7333,3.1593
602,71.8333,3.4473
603,73.1333,3.6893
701,77.5667,4.4943
702,78.2333,4.8597
801,82.9,2.5563
802,82.9333,2.8807
803,83.2667,2.826
804,83.4333,2.807
805,84.2,3.0053
806,84.0667,3.1577
807,85.0,2.941
901,80.4667,3.428
902,78.6333,3.02
903,79.9,2.992
904,81.2667,3.3613
905,82.1667,2.9243
906,82.8,3.512
907,82.6667,2.7143
908,82.6667,2.9157
909,83.4,3.247
1001,59.5,-0.69
1002,61.2,-0.818
1003,64.3667,-0.742
1004,56.9333,-1.137
1005,68.7667,-1.1053
1006,64.1,-1.0497
1007,66.3,-0.6583
1008,56.5333,-1.368
1009,63.4,-0.832
1010,61.1667,-0.6973
1101,73.9,2.649
1102,73.9333,2.9617
1103,76.0667,2.351
1104,75.8667,2.9653
1105,75.4333,3.136
1106,77.4,2.6903
1107,77.6,3.2803
1108,79.5333,3.599
1109,79.3667,3.5327
1201,74.0667,2.9603
1202,73.6667,2.8167
1203,73.4667,2.821
1204,75.6,2.9217
1205,74.9333,2.577
1206,74.1667,2.754
1207,78.4333,3.5547
1208,77.0,3.198
1209,76.4,2.9913
1301,72.2333,1.761
1302,71.7333,1.7533
1303,71.6333,2.01
1304,73.0667,1.4157
1305,73.4,1.8307
1306,73.7667,2.2583
1307,74.6333,1.5907
1308,74.8,1.7367
1309,75.2333,2.0633
1401,76.1,2.087
1402,78.0667,1.973
1403,78.0,2.3607
1404,77.5333,2.433
1405,79.5667,2.3927
1406,78.8,2.3627
1407,78.7333,2.0623
1408,80.5667,2.347
1409,79.9667,2.1983
1501,80.3333,3.7293
1502,78.5667,3.5983
1503,76.9667,3.267
1504,76.1667,2.9747
1601,84.6,3.5177
1602,84.1333,3.7607
1603,84.3667,3.6677
1604,84.1667,3.388
1605,84.0667,2.7767
1606,83.1333,2.4877
1607,84.0333,2.343
1608,83.6,2.3367
1609,83.9333,2.5497
1701,63.7,2.279
1702,66.7,2.2833
1703,66.6667,2.7513
1801,78.8333,4.654
1802,78.9667,4.6183
1803,79.2333,4.516
1804,78.8667,4.4613
1805,78.1,4.0943
1806,76.7667,4.227
1807,74.7333,3.3663
1808,68.8667,2.9017
1901,68.0667,2.8893
1902,70.9333,3.292
1903,71.7333,3.8827
2001,65.5667,3.278
2002,65.3333,3.015
2003,68.1667,3.6803
2004,67.7,3.2543
2005,69.8,3.375
2006,70.2,3.3717
2007,70.9,3.5747
2008,72.2667,3.1283
2009,71.7667,2.907
2010,72.5,3.5753
2101,66.9667,1.2803
2102,65.8333,1.868
2103,64.2667,2.5797
2104,69.6,1.4347
2105,69.9,1.8123
2106,68.3667,2.3273
2107,71.0333,1.7987
2108,71.3667,1.71
2109,70.8333,2.186
2201,83.7333,3.419
2202,82.8333,3.4577
2203,81.8333,3.191
2204,84.3,3.6627
2205,82.6333,3.1703
2206,82.8333,3.3873
2207,83.1333,2.8987
2208,82.4333,2.457
2209,82.7333,2.8907
2210,82.4667,2.4283
2301,77.2667,2.3887
2302,77.4,2.3637
2303,79.0,2.722
2304,79.2667,3.487
2305,78.8,3.546
2306,81.9333,3.8483
2401,57.3,-0.8357
2402,56.0667,-1.0937
2403,62.1,-1.0557
2404,61.0,-1.2227
2405,63.0333,-0.3067
2406,65.9667,-0.1897
2407,66.9333,-0.6543
2501,70.2333,1.438
2502,71.8333,1.116
2503,73.2333,1.036
2505,72.9333,0.826
2506,75.1,1.608
2507,73.7333,1.1443
2508,75.0667,1.1393
2509,76.3333,1.673
2601,68.1333,0.1637
2602,64.4667,0.0203
2603,71.7,1.9753
2604,85.2667,2.3083
2701,63.4333,1.727
2702,67.9667,2.7867
2801,73.6,4.0567
2802,77.0333,4.7527
2803,76.6,4.9113
2901,70.2,1.735
2902,66.1667,1.842
2903,75.9,2.1887
2904,67.2,1.369
2905,75.8667,2.095
2906,69.5667,2.268
2907,77.7,2.024
2908,77.7667,1.4
3001,67.7,2.17
3002,67.7,2.2863
3003,64.2667,1.9843
3004,75.1667,4.8003
3005,71.3333,3.044
3006,68.1333,1.7767
3007,66.8667,2.1857
3008,67.2,2.1347
3009,69.3333,2.296
3010,69.1333,2.113
3101,73.7,3.5637
3102,74.3,3.5627
3103,78.9333,3.5853
3104,79.3,3.4743
3105,80.3667,3.481
3106,81.2,3.5383
3107,80.8,3.36
3108,80.3,3.7947
3201,65.3,0.1933
3202,66.1667,0.928
3203,66.5333,1.281
3204,66.6,0.0993
3205,67.3333,1.0857
3206,68.3333,1.1933
3207,66.4667,-0.1697
3208,67.8667,0.4177
3209,68.9667,1.391
3301,74.2333,3.0087
3302,73.7667,2.9683
3303,72.0,3.3363
3304,74.0333,2.78
3305,74.0,2.5307
3306,72.4,2.7867
3307,72.5333,3.092
3308,75.2667,2.9313
3309,75.3333,3.0617
3310,73.6667,2.5993
3401,79.0333,1.6223
3402,82.0333,2.2593
3403,81.8333,2.4487
3404,82.1333,2.355
3405,82.5667,2.1787
3406,82.7667,2.8467
3407,83.5,2.1873
3408,83.8667,2.5913
3409,82.7667,3.5797
3501,59.8333,-0.202
3502,62.2333,-0.3967
3503,63.2667,0.4437
3504,57.4667,-0.4877
3505,57.9333,-0.2213
3506,64.5333,-0.546
3507,61.0,-0.477
3508,59.3333,-1.044
3509,65.5667,-0.8527
3601,69.2667,3.0043
3602,72.1,3.4683
3603,75.3,3.908
3604,74.7667,3.6663
3605,71.9333,2.6863
3606,68.3,2.2337
3607,69.4667,2.2727
3608,71.6667,2.6767
3609,71.5,2.589
3610,68.9333,2.7283
3701,71.5667,3.6823
3801,78.0667,3.4077
3802,80.7333,3.4883
3803,81.0667,3.261
3804,81.9,3.16
3805,82.2,3.3687
3806,82.3667,3.3143
3807,82.8667,3.494
3901,68.3667,0.1083
3902,70.0,0.954
3903,70.1333,1.824
3904,65.0,0.3397
3905,70.8333,0.611
3906,72.1333,1.1173
3907,70.9,1.5283
3908,72.5667,1.311
3909,72.7333,1.3777
4001,77.7,3.5703
4002,77.2667,3.6857
4003,79.8667,3.63
4004,81.8,3.8597
4101,79.0667,1.5253
4102,82.5,0.922
4103,84.5667,2.071
4104,84.3333,2.6913
4105,80.9667,1.716
4106,82.6667,1.1347
4107,84.1333,1.0683
4108,84.2667,2.091
4109,85.2667,0.447
4110,85.6667,1.077
4201,71.5,0.592
4202,79.9333,2.3263
4203,69.2333,0.4723
4204,66.2333,1.1163
4205,59.7333,0.3573
4206,68.7333,1.49
4207,74.1667,1.333
4301,64.5,1.8463
4302,66.5667,2.2343
4303,66.1333,2.3787
4401,80.0333,4.244
4402,78.8333,4.036
4403,77.0333,3.5797
4404,76.2333,4.0707
4405,73.6333,3.3753
4406,72.9667,3.2857
4501,57.1667,-0.6093
4502,59.8667,0.1437
4503,61.2,-0.1957
4504,59.0667,-0.2983
4505,55.2667,-0.3943
4506,57.1667,-0.6557
4507,64.6333,-1.162
4508,67.8,-0.6727
4509,61.0,-0.5993
4510,64.2,-0.409
4601,74.1333,2.857
4602,73.5333,2.6687
4603,75.8,2.9403
4604,69.8333,2.8603
4605,73.0,3.074
4606,73.6,3.1347
4701,67.4667,2.353
4702,66.7,2.574
4703,67.2667,2.981
4704,70.3333,2.2893
4705,70.0667,2.6357
4706,69.7667,3.1323
4707,71.7333,2.5263
4708,71.8,2.7687
4709,71.7333,2.8737
4801,54.2,-0.585
4802,53.6,-0.951
4803,59.8,0.142
4804,62.5,-0.0337
4805,64.8667,-0.0947
4806,65.8333,0.2993
4807,67.1333,0.0857
4808,65.8,0.834
4809,61.1667,-0.353
4810,61.8333,0.4473
