id,value,anomaly
101,78.0,0.5633
102,77.7333,0.4877
103,79.1,0.0777
104,78.3333,0.4277
105,78.0333,0.3683
106,80.0,0.1743
107,80.0333,0.122
108,80.7,0.2833
201,80.8,0.6717
202,70.4,0.431
203,76.4667,0.9477
204,76.7333,0.957
205,89.7667,1.3083
206,87.7667,1.4937
207,80.1333,1.3353
301,77.0333,1.3997
302,78.2667,1.883
303,80.2667,1.7223
304,79.2,1.1217
305,80.5333,1.1903
306,81.0333,1.079
307,80.9,1.28
308,81.0,0.8333
309,81.1,0.8433
401,65.4333,0.999
402,69.8667,0.8593
403,62.2,0.8887
404,68.7,1.6693
405,73.0667,1.4887
406,70.7667,1.484
407,83.2667,1.2707
501,69.9,0.8367
502,61.6333,0.704
503,72.6,1.188
504,65.6,1.122
505,57.8667,0.37
601,70.2333,3.6593
602,71.8,3.414
603,72.7667,3.3227
701,76.1333,3.061
702,76.1667,2.793
801,81.0,0.6563
802,81.8,1.7473
803,82.3333,1.8927
804,82.4333,1.807
805,83.1667,1.972
806,82.9667,2.0577
807,84.0,1.941
901,77.4667,0.428
902,75.6667,0.0533
903,76.8333,-0.0747
904,78.3,0.3947
905,79.3,0.0577
906,80.3,1.012
907,80.3333,0.381
908,80.6333,0.8823
909,81.4667,1.3137
1001,60.2333,0.0433
1002,62.4667,0.4487
1003,65.7333,0.6247
1004,58.3667,0.2963
1005,70.5,0.628
1006,65.3667,0.217
1007,67.3,0.3417
1008,57.9667,0.0653
1009,64.1,-0.132
1010,61.7333,-0.1307
1101,73.8333,2.5823
1102,73.9667,2.995
1103,75.7333,2.0177
1104,75.2333,2.332
1105,74.6,2.3027
1106,76.5,1.7903
1107,76.2667,1.947
1108,77.8333,1.899
1109,77.4,1.566
1201,73.7667,2.6603
1202,73.3667,2.5167
1203,73.3667,2.721
1204,74.2667,1.5883
1205,74.0,1.6437
1206,73.5667,2.154
1207,76.4667,1.588
1208,75.3,1.498
1209,75.4333,2.0247
1301,71.9667,1.4943
1302,71.3667,1.3867
1303,71.4,1.7767
1304,73.0667,1.4157
1305,72.8333,1.264
1306,73.5333,2.025
1307,74.3333,1.2907
1308,74.1,1.0367
1309,74.8333,1.6633
1401,74.9,0.887
1402,77.1333,1.0397
1403,76.3667,0.7273
1404,75.6667,0.5663
1405,77.7667,0.5927
1406,76.9667,0.5293
1407,76.3667,-0.3043
1408,78.0333,-0.1863
1409,77.9667,0.1983
1501,78.0,1.396
1502,76.7,1.7317
1503,76.1667,2.467
1504,75.3,2.108
1601,82.3,1.2177
1602,81.4667,1.094
1603,81.9667,1.2677
1604,81.5667,0.788
1605,82.0667,0.7767
1606,81.7,1.0543
1607,82.5333,0.843
1608,82.6,1.3367
1609,82.4333,1.0497
1701,63.9333,2.5123
1702,66.7333,2.3167
1703,66.2333,2.318
1801,76.7667,2.5873
1802,77.0667,2.7183
1803,77.3333,2.616
1804,77.1667,2.7613
1805,76.5333,2.5277
1806,75.6,3.0603
1807,74.3,2.933
1808,68.6,2.635
1901,69.0667,3.8893
1902,71.1,3.4587
1903,70.7,2.8493
2001,66.1333,3.8447
2002,66.7333,4.415
2003,69.2,4.7137
2004,68.3667,3.921
2005,70.4667,4.0417
2006,70.3667,3.5383
2007,70.8,3.4747
2008,72.7333,3.595
2009,72.0667,3.207
2010,72.6333,3.7087
2101,66.7333,1.047
2102,65.8333,1.868
2103,63.9333,2.2463
2104,69.6333,1.468
2105,70.3,2.2123
2106,68.6333,2.594
2107,70.7,1.4653
2108,71.3333,1.6767
2109,70.7333,2.086
2201,81.1,0.7857
2202,80.0,0.6243
2203,78.7333,0.091
2204,81.2333,0.596
2205,79.8333,0.3703
2206,79.5333,0.0873
2207,80.9,0.6653
2208,80.4333,0.457
2209,80.1333,0.2907
2210,80.6667,0.6283
2301,76.1,1.222
2302,76.7,1.6637
2303,77.6333,1.3553
2304,77.3333,1.5537
2305,76.9667,1.7127
2306,79.2667,1.1817
2401,58.3,0.1643
2402,57.2,0.0397
2403,63.3667,0.211
2404,62.4667,0.244
2405,63.9,0.56
2406,66.8667,0.7103
2407,68.1667,0.579
2501,69.7,0.9047
2502,71.9667,1.2493
2503,73.5,1.3027
2505,73.0333,0.926
2506,75.0333,1.5413
2507,73.4667,0.8777
2508,74.7333,0.806
2509,75.8333,1.173
2601,69.0333,1.0637
2602,64.7667,0.3203
2603,71.1,1.3753
2604,83.9333,0.975
2701,64.9667,3.2603
2702,68.5667,3.3867
2801,73.5333,3.99
2802,75.7333,3.4527
2803,75.1667,3.478
2901,69.0333,0.5683
2902,64.8333,0.5087
2903,73.9333,0.222
2904,66.8,0.969
2905,75.4667,1.695
2906,68.7667,1.468
2907,76.7,1.024
2908,77.8333,1.4667
3001,68.9667,3.4367
3002,69.7333,4.3197
3003,66.8333,4.551
3004,73.9,3.5337
3005,72.4333,4.144
3006,70.7667,4.41
3007,68.6333,3.9523
3008,69.6667,4.6013
3009,71.3667,4.3293
3010,71.1333,4.113
3101,70.9333,0.797
3102,72.3,1.5627
3103,77.1333,1.7853
3104,77.3667,1.541
3105,78.1,1.2143
3106,79.5,1.8383
3107,79.2333,1.7933
3108,78.3333,1.828
3201,65.8,0.6933
3202,65.7667,0.528
3203,65.8667,0.6143
3204,67.1,0.5993
3205,66.8667,0.619
3206,67.9,0.76
3207,67.0333,0.397
3208,68.1,0.651
3209,68.6,1.0243
3301,74.2,2.9753
3302,74.0,3.2017
3303,72.7,4.0363
3304,73.9,2.6467
3305,74.2,2.7307
3306,72.6,2.9867
3307,72.8333,3.392
3308,74.9,2.5647
3309,75.3,3.0283
3310,74.0333,2.966
3401,76.3667,-1.0443
3402,79.2667,-0.5073
3403,79.3667,-0.018
3404,78.6333,-1.145
3405,79.6,-0.788
3406,80.0667,0.1467
3407,80.6,-0.7127
3408,80.7333,-0.542
3409,80.0,0.813
3501,61.8333,1.798
3502,63.9333,1.3033
3503,64.6333,1.8103
3504,58.9333,0.979
3505,59.2,1.0453
3506,66.3,1.2207
3507,62.5,1.023
3508,61.2667,0.8893
3509,66.9,0.4807
3601,70.3667,4.1043
3602,72.3333,3.7017
3603,74.9333,3.5413
3604,74.3333,3.233
3605,72.4667,3.2197
3606,69.6333,3.567
3607,70.0667,2.8727
3608,71.7,2.71
3609,71.7333,2.8223
3610,69.6333,3.4283
3701,71.3,3.4157
3801,74.7333,0.0743
3802,77.7333,0.4883
3803,78.6667,0.861
3804,80.0,1.26
3805,79.0667,0.2353
3806,79.9333,0.881
3807,80.7,1.3273
3901,69.6667,1.4083
3902,70.0333,0.9873
3903,69.4333,1.124
3904,66.3,1.6397
3905,71.7333,1.511
3906,72.8,1.784
3907,70.9333,1.5617
3908,72.8667,1.611
3909,73.0,1.6443
4001,75.4333,1.3037
4002,74.9333,1.3523
4003,77.7,1.4633
4004,78.9333,0.993
4101,77.1,-0.4413
4102,80.4,-1.178
4103,82.1333,-0.3623
4104,82.7,1.058
4105,80.0,0.7493
4106,81.1333,-0.3987
4107,83.9,0.835
4108,83.5667,1.391
4109,85.8667,1.047
4110,86.2333,1.6437
4201,71.0,0.092
4202,78.1667,0.5597
4203,69.1667,0.4057
4204,65.1333,0.0163
4205,59.4333,0.0573
4206,67.4333,0.19
4207,73.2667,0.433
4301,66.4,3.7463
4302,68.4,4.0677
4303,67.8,4.0453
4401,78.1333,2.344
4402,77.1667,2.3693
4403,75.1667,1.713
4404,74.8,2.6373
4405,72.3333,2.0753
4406,71.6,1.919
4501,59.4,1.624
4502,61.4,1.677
4503,62.7333,1.3377
4504,60.4,1.035
4505,56.4,0.739
4506,58.5,0.6777
4507,66.2667,0.4713
4508,69.3667,0.894
4509,61.7,0.1007
4510,65.7667,1.1577
4601,74.3667,3.0903
4602,73.6333,2.7687
4603,75.6,2.7403
4604,69.4667,2.4937
4605,72.0667,2.1407
4606,72.9,2.4347
4701,67.7333,2.6197
4702,67.6333,3.5073
4703,68.0333,3.7477
4704,70.4667,2.4227
4705,70.4667,3.0357
4706,70.0333,3.399
4707,71.4,2.193
4708,71.7,2.6687
4709,71.5667,2.707
4801,54.8333,0.0483
4802,54.0667,-0.4843
4803,59.7333,0.0753
4804,62.9333,0.3997
4805,65.8667,0.9053
4806,67.0333,1.4993
4807,68.0,0.9523
4808,66.0667,1.1007
4809,61.7333,0.2137
4810,62.3333,0.9473
