id,value,anomaly
101,77.7,0.2633
102,77.4333,0.1877
103,79.0,-0.0223
104,78.4667,0.561
105,78.3667,0.7017
106,80.2333,0.4077
107,80.5,0.5887
108,81.1,0.6833
201,83.5333,3.405
202,73.7333,3.7643
203,79.2667,3.7477
204,79.6667,3.8903
205,92.3667,3.9083
206,90.9,4.627
207,82.7333,3.9353
301,75.8667,0.233
302,76.4333,0.0497
303,78.9333,0.389
304,77.8,-0.2783
305,78.8667,-0.4763
306,79.8667,-0.0877
307,78.9,-0.72
308,79.3333,-0.8333
309,79.9333,-0.3233
401,67.7,3.2657
402,72.1333,3.126
403,64.0667,2.7553
404,70.4,3.3693
405,74.4333,2.8553
406,72.2333,2.9507
407,85.0667,3.0707
501,72.5667,3.5033
502,64.7333,3.804
503,75.2667,3.8547
504,68.2,3.722
505,60.4,2.9033
601,70.6333,4.0593
602,72.4,4.014
603,73.2333,3.7893
701,76.4667,3.3943
702,77.3667,3.993
801,81.2667,0.923
802,81.7,1.6473
803,82.8667,2.426
804,82.9333,2.307
805,83.4,2.2053
806,83.4333,2.5243
807,85.1667,3.1077
901,77.4667,0.428
902,76.0,0.3867
903,77.8,0.892
904,78.7667,0.8613
905,80.2667,1.0243
906,80.5667,1.2787
907,80.5,0.5477
908,80.6667,0.9157
909,81.3667,1.2137
1001,61.4667,1.2767
1002,62.2333,0.2153
1003,65.3333,0.2247
1004,58.8667,0.7963
1005,70.5667,0.6947
1006,65.9667,0.817
1007,68.7667,1.8083
1008,59.2,1.2987
1009,65.5333,1.3013
1010,63.0667,1.2027
1101,73.3667,2.1157
1102,73.5,2.5283
1103,74.4667,0.751
1104,74.3667,1.4653
1105,73.6,1.3027
1106,75.0333,0.3237
1107,74.6667,0.347
1108,76.6333,0.699
1109,76.2333,0.3993
1201,73.1,1.9937
1202,72.8,1.95
1203,72.3667,1.721
1204,73.4333,0.755
1205,73.0,0.6437
1206,72.6667,1.254
1207,75.6333,0.7547
1208,74.0667,0.2647
1209,74.4,0.9913
1301,73.5333,3.061
1302,72.1333,2.1533
1303,71.4667,1.8433
1304,74.3,2.649
1305,73.5,1.9307
1306,73.0333,1.525
1307,74.7667,1.724
1308,74.4,1.3367
1309,73.8667,0.6967
1401,76.5,2.487
1402,77.5333,1.4397
1403,76.8,1.1607
1404,77.1667,2.0663
1405,78.0333,0.8593
1406,77.4333,0.996
1407,78.3,1.629
1408,78.5333,0.3137
1409,78.4667,0.6983
1501,76.7667,0.1627
1502,75.7667,0.7983
1503,75.0333,1.3337
1504,74.2,1.008
1601,81.6333,0.551
1602,80.6,0.2273
1603,80.7,0.001
1604,81.3667,0.588
1605,81.2,-0.09
1606,81.6333,0.9877
1607,81.8667,0.1763
1608,82.2333,0.97
1609,82.7333,1.3497
1701,64.3333,2.9123
1702,67.3,2.8833
1703,67.1667,3.2513
1801,77.9667,3.7873
1802,77.9,3.5517
1803,78.0333,3.316
1804,78.0,3.5947
1805,77.6333,3.6277
1806,76.0667,3.527
1807,74.2333,2.8663
1808,68.7667,2.8017
1901,68.8,3.6227
1902,71.8333,4.192
1903,72.1,4.2493
2001,65.5333,3.2447
2002,65.4,3.0817
2003,68.3,3.8137
2004,67.9,3.4543
2005,69.5333,3.1083
2006,70.5333,3.705
2007,71.2667,3.9413
2008,71.7667,2.6283
2009,71.4667,2.607
2010,72.3,3.3753
2101,68.3333,2.647
2102,66.7667,2.8013
2103,64.8,3.113
2104,71.2667,3.1013
2105,70.7667,2.679
2106,69.0667,3.0273
2107,72.1,2.8653
2108,71.9667,2.31
2109,70.9333,2.286
2201,80.0667,-0.2477
2202,79.3,-0.0757
2203,79.0,0.3577
2204,81.1333,0.496
2205,80.2667,0.8037
2206,79.6667,0.2207
2207,80.7333,0.4987
2208,80.4333,0.457
2209,80.0667,0.224
2210,80.9,0.8617
2301,75.6333,0.7553
2302,75.5,0.4637
2303,76.9,0.622
2304,76.5333,0.7537
2305,75.9,0.646
2306,78.2,0.115
2401,59.2,1.0643
2402,58.5333,1.373
2403,64.2333,1.0777
2404,63.2,0.9773
2405,65.2333,1.8933
2406,67.7667,1.6103
2407,69.9,2.3123
2501,72.7,3.9047
2502,73.2,2.4827
2503,74.6333,2.436
2505,74.2667,2.1593
2506,75.6667,2.1747
2507,75.3667,2.7777
2508,76.0333,2.106
2509,75.7333,1.073
2601,70.6,2.6303
2602,66.8,2.3537
2603,73.2333,3.5087
2604,86.4,3.4417
2701,64.2333,2.527
2702,68.7,3.52
2801,73.6333,4.09
2802,76.2667,3.986
