id,value
101,11.04
102,12.09
103,11.72
104,10.59
105,10.38
106,11.38
107,14.08
108,16.97
201,0.69
202,2.05
203,1.43
204,3.58
205,0.14
206,1.22
207,4.78
301,12.51
302,11.85
303,11.79
304,10.53
305,8.93
306,9.89
307,6.79
308,9.03
309,8.58
401,0.28
402,0.14
403,0.43
404,0.02
405,0.1
406,0.02
407,0.12
501,3.88
502,2.4
503,5.8
504,3.88
505,2.28
601,12.81
602,11.03
603,10.26
701,8.35
702,8.14
801,15.97
802,22.52
803,32.63
804,28.36
805,28.53
806,30.02
807,22.42
901,9.52
902,8.65
903,8.01
904,10.36
905,9.41
906,11.71
907,12.02
908,13.82
909,17.41
1001,3.44
1002,4.22
1003,3.79
1004,3.44
1005,0.64
1006,1.05
1007,0.56
1008,3.66
1009,1.34
1010,2.02
1101,14.51
1102,10.82
1103,14.06
1104,13.27
1105,12.36
1106,11.4
1107,7.35
1108,6.72
1109,5.5
1201,9.61
1202,8.97
1203,8.19
1204,11.48
1205,9.47
1206,7.96
1207,6.63
1208,7.57
1209,8.35
1301,13.04
1302,16.18
1303,16.09
1304,12.9
1305,13.9
1306,16.53
1307,10.43
1308,10.04
1309,11.62
1401,4.65
1402,5.41
1403,6.78
1404,5.46
1405,7.64
1406,7.7
1407,6.8
1408,11.48
1409,10.14
1501,7.69
1502,10.13
1503,8.52
1504,10.85
1601,8.25
1602,10.03
1603,12.2
1604,10.78
1605,12.59
1606,16.91
1607,21.57
1608,19.76
1609,19.2
1701,9.82
1702,8.21
1703,8.41
1801,7.86
1802,6.49
1803,7.96
1804,8.23
1805,7.32
1806,8.88
1807,9.18
1808,11.78
1901,11.56
1902,9.9
1903,7.12
2001,11.67
2002,12.06
2003,9.66
2004,9.53
2005,9.3
2006,9.36
2007,9.49
2008,9.19
2009,8.69
2010,6.87
2101,17.5
2102,16.9
2103,13.77
2104,13.4
2105,19.46
2106,18.12
2107,12.72
2108,15.96
2109,18.16
2201,10.81
2202,11.77
2203,9.48
2204,10.0
2205,12.25
2206,10.72
2207,14.73
2208,16.1
2209,12.47
2210,17.37
2301,8.92
2302,10.35
2303,8.32
2304,9.79
2305,11.11
2306,10.17
2401,5.84
2402,5.93
2403,9.21
2404,7.62
2405,4.49
2406,7.4
2407,4.81
2501,5.05
2502,5.18
2503,9.31
2505,5.92
2506,8.43
2507,5.25
2508,4.91
2509,6.6
2601,0.7
2602,0.84
2603,0.45
2604,0.24
2701,11.91
2702,9.35
2801,10.74
2802,10.13
2803,9.82
2901,2.57
2902,4.5
2903,5.29
2904,5.17
2905,3.81
2906,6.27
2907,5.86
2908,4.12
3001,10.81
3002,11.08
3003,9.43
3004,10.34
3005,10.92
3006,12.06
3007,10.05
3008,9.96
3009,8.03
3010,9.22
3101,10.68
3102,9.85
3103,11.3
3104,10.41
3105,8.82
3106,15.13
3107,15.27
3108,14.42
3201,9.13
3202,10.57
3203,14.07
3204,9.13
3205,8.99
3206,12.18
3207,6.07
3208,6.26
3209,9.81
3301,6.52
3302,7.86
3303,8.12
3304,6.63
3305,9.5
3306,8.61
3307,8.14
3308,8.97
3309,9.93
3310,9.7
3401,8.83
3402,12.46
3403,11.11
3404,8.5
3405,10.35
3406,10.59
3407,8.02
3408,12.06
3409,9.99
3501,2.42
3502,2.04
3503,0.6
3504,2.82
3505,1.1
3506,1.56
3507,0.93
3508,2.46
3509,1.24
3601,10.2
3602,8.41
3603,8.5
3604,8.42
3605,8.62
3606,9.88
3607,10.46
3608,9.41
3609,10.71
3610,10.95
3701,7.88
3801,10.56
3802,8.13
3803,9.31
3804,15.37
3805,7.64
3806,10.47
3807,17.07
3901,4.34
3902,6.54
3903,9.8
3904,5.05
3905,3.47
3906,6.57
3907,8.93
3908,4.9
3909,9.65
4001,9.36
4002,10.15
4003,9.76
4004,10.66
4101,6.32
4102,8.53
4103,8.99
4104,10.66
4105,4.63
4106,8.46
4107,13.06
4108,17.01
4109,10.51
4110,3.9
4201,0.77
4202,0.29
4203,0.86
4204,1.14
4205,1.67
4206,1.06
4207,1.04
4301,13.59
4302,11.7
4303,10.81
4401,9.62
4402,8.96
4403,8.62
4404,10.12
4405,8.83
4406,10.77
4501,5.03
4502,2.01
4503,2.84
4504,4.25
4505,5.09
4506,1.95
4507,1.0
4508,1.1
4509,2.16
4510,2.45
4601,9.79
4602,12.01
4603,10.54
4604,12.56
4605,11.38
4606,10.46
4701,15.12
4702,14.64
4703,13.47
4704,17.19
4705,13.25
4706,10.15
4707,14.06
4708,10.47
4709,11.73
4801,5.05
4802,3.34
4803,1.31
4804,3.1
4805,4.04
4806,4.46
4807,4.28
4808,3.16
4809,2.47
4810,1.84
