id,value
101,17.95
102,19.21
103,17.31
104,19.37
105,19.61
106,18.49
107,22.6
108,24.49
201,3.04
202,6.0
203,6.08
204,6.33
205,2.3
206,2.94
207,6.7
301,13.65
302,13.46
303,12.8
304,13.64
305,10.23
306,8.81
307,12.09
308,9.09
309,6.84
401,1.49
402,1.45
403,1.87
404,0.05
405,0.41
406,0.27
407,1.38
501,6.52
502,4.33
503,6.11
504,5.19
505,5.46
601,20.65
602,18.16
603,15.81
701,21.89
702,22.13
801,31.15
802,26.27
803,27.21
804,28.66
805,26.74
806,23.94
807,17.96
901,18.65
902,25.9
903,25.96
904,21.64
905,24.79
906,26.2
907,28.13
908,25.72
909,24.07
1001,5.99
1002,3.98
1003,3.56
1004,3.36
1005,1.08
1006,1.54
1007,0.57
1008,2.95
1009,1.3
1010,2.14
1101,8.77
1102,10.42
1103,6.38
1104,7.3
1105,8.87
1106,8.74
1107,13.5
1108,12.28
1109,13.4
1201,11.5
1202,12.34
1203,12.4
1204,10.69
1205,9.25
1206,9.53
1207,12.82
1208,11.97
1209,11.37
1301,7.58
1302,11.16
1303,12.61
1304,6.59
1305,6.79
1306,8.69
1307,6.89
1308,6.4
1309,5.79
1401,6.21
1402,9.69
1403,9.21
1404,7.97
1405,15.86
1406,12.86
1407,9.89
1408,15.85
1409,18.6
1501,15.74
1502,16.93
1503,16.48
1504,17.7
1601,8.97
1602,10.97
1603,9.86
1604,8.81
1605,10.15
1606,14.43
1607,10.99
1608,15.14
1609,16.72
1701,15.88
1702,16.77
1703,14.96
1801,18.0
1802,18.0
1803,16.58
1804,15.25
1805,18.88
1806,15.89
1807,12.16
1808,18.61
1901,18.09
1902,17.32
1903,15.92
2001,12.35
2002,11.61
2003,7.45
2004,6.87
2005,8.02
2006,7.73
2007,8.58
2008,10.12
2009,12.6
2010,12.53
2101,7.29
2102,9.4
2103,11.74
2104,9.93
2105,10.59
2106,10.02
2107,9.09
2108,11.83
2109,11.01
2201,7.2
2202,8.81
2203,9.7
2204,8.56
2205,9.34
2206,11.57
2207,10.85
2208,14.59
2209,16.33
2210,20.99
2301,6.6
2302,7.83
2303,12.29
2304,16.73
2305,14.75
2306,14.98
2401,4.82
2402,4.19
2403,7.31
2404,6.2
2405,3.84
2406,7.22
2407,5.59
2501,5.75
2502,9.23
2503,9.18
2505,8.22
2506,7.35
2507,5.96
2508,6.08
2509,7.39
2601,0.87
2602,1.39
2603,1.9
2604,1.55
2701,15.54
2702,16.65
2801,18.14
2802,20.44
2803,18.21
2901,4.47
2902,6.69
2903,7.06
2904,7.93
2905,5.3
2906,6.65
2907,5.87
2908,5.91
3001,12.2
3002,18.48
3003,17.44
3004,13.46
3005,16.88
3006,17.39
3007,15.82
3008,14.82
3009,13.66
3010,14.98
3101,26.97
3102,26.7
3103,18.05
3104,21.67
3105,20.89
3106,25.04
3107,20.03
3108,17.94
3201,10.45
3202,9.53
3203,7.44
3204,7.94
3205,4.87
3206,6.31
3207,6.98
3208,6.41
3209,6.76
3301,13.32
3302,16.73
3303,17.51
3304,12.63
3305,15.08
3306,16.1
3307,15.37
3308,13.26
3309,15.64
3310,17.78
3401,10.18
3402,13.65
3403,13.61
3404,10.58
3405,16.44
3406,13.46
3407,9.79
3408,10.44
3409,12.37
3501,3.12
3502,2.65
3503,2.17
3504,5.28
3505,2.46
3506,2.17
3507,2.35
3508,3.38
3509,1.32
3601,16.56
3602,16.83
3603,19.28
3604,13.48
3605,11.66
3606,13.25
3607,12.52
3608,12.07
3609,18.21
3610,14.44
3701,16.4
3801,35.25
3802,26.58
3803,19.53
3804,23.49
3805,22.44
3806,25.31
3807,25.86
3901,6.85
3902,7.02
3903,7.68
3904,8.52
3905,7.24
3906,8.24
3907,8.92
3908,8.55
3909,9.52
4001,19.66
4002,19.59
4003,16.1
4004,13.58
4101,7.87
4102,9.45
4103,7.42
4104,7.31
4105,4.45
4106,5.94
4107,5.52
4108,9.21
4109,5.84
4110,4.11
4201,1.9
4202,2.93
4203,1.64
4204,4.74
4205,2.9
4206,2.0
4207,3.05
4301,17.73
4302,17.67
4303,17.7
4401,17.8
4402,18.89
4403,18.26
4404,14.99
4405,17.61
4406,19.09
4501,6.64
4502,2.3
4503,3.57
4504,5.16
4505,6.45
4506,3.81
4507,3.07
4508,1.74
4509,4.61
4510,3.15
4601,18.34
4602,19.89
4603,17.51
4604,18.16
4605,15.49
4606,14.67
4701,10.82
4702,13.07
4703,12.84
4704,8.76
4705,9.54
4706,9.78
4707,13.53
4708,12.81
4709,11.59
4801,3.99
4802,3.32
4803,1.67
4804,1.92
4805,3.97
4806,6.68
4807,6.09
4808,3.39
4809,1.34
4810,1.69
