id,value
101,12.65
102,13.02
103,14.14
104,12.31
105,11.99
106,12.02
107,12.45
108,13.92
201,3.42
202,3.5
203,6.1
204,4.64
205,1.48
206,3.15
207,6.05
301,7.75
302,8.93
303,12.06
304,7.61
305,8.51
306,8.3
307,7.6
308,8.88
309,7.61
401,1.13
402,1.95
403,3.22
404,0.12
405,0.95
406,0.3
407,0.86
501,8.61
502,5.03
503,9.45
504,7.17
505,5.51
601,13.29
602,14.07
603,12.16
701,8.72
702,8.71
801,13.86
802,18.02
803,14.98
804,16.23
805,19.07
806,16.42
807,10.3
901,11.86
902,11.54
903,8.96
904,11.96
905,9.07
906,8.8
907,13.18
908,11.59
909,14.36
1001,5.28
1002,4.95
1003,4.41
1004,5.5
1005,2.05
1006,2.8
1007,2.23
1008,5.59
1009,3.22
1010,4.34
1101,14.13
1102,12.55
1103,12.82
1104,13.62
1105,14.53
1106,14.8
1107,15.5
1108,16.65
1109,15.44
1201,14.74
1202,16.67
1203,15.69
1204,17.23
1205,17.88
1206,17.96
1207,14.92
1208,15.9
1209,15.28
1301,12.17
1302,15.88
1303,18.32
1304,18.44
1305,17.82
1306,15.37
1307,17.2
1308,14.05
1309,14.9
1401,9.7
1402,11.67
1403,17.74
1404,10.22
1405,12.18
1406,14.85
1407,8.72
1408,8.27
1409,10.78
1501,17.37
1502,15.61
1503,16.43
1504,14.6
1601,8.21
1602,9.61
1603,8.94
1604,9.39
1605,9.4
1606,10.99
1607,12.8
1608,11.98
1609,14.01
1701,14.26
1702,12.68
1703,12.52
1801,8.99
1802,9.56
1803,8.76
1804,7.43
1805,10.54
1806,9.55
1807,10.02
1808,14.14
1901,13.43
1902,14.71
1903,16.23
2001,8.69
2002,8.56
2003,7.51
2004,6.99
2005,6.87
2006,5.0
2007,6.77
2008,8.72
2009,10.32
2010,8.92
2101,10.9
2102,10.07
2103,9.17
2104,10.84
2105,12.68
2106,11.73
2107,11.46
2108,13.57
2109,18.55
2201,7.23
2202,12.27
2203,13.84
2204,9.03
2205,12.02
2206,13.99
2207,10.91
2208,11.93
2209,12.92
2210,14.08
2301,16.5
2302,14.88
2303,17.71
2304,12.59
2305,17.55
2306,19.15
2401,7.52
2402,7.02
2403,7.21
2404,8.35
2405,6.84
2406,6.2
2407,6.49
2501,8.82
2502,12.04
2503,14.35
2505,11.45
2506,14.78
2507,9.25
2508,10.36
2509,14.11
2601,2.56
2602,3.21
2603,3.06
2604,2.58
2701,17.91
2702,16.5
2801,11.01
2802,8.89
2803,8.26
2901,4.4
2902,7.28
2903,6.46
2904,7.73
2905,5.18
2906,6.76
2907,4.29
2908,4.96
3001,12.33
3002,12.74
3003,18.98
3004,11.0
3005,12.84
3006,13.66
3007,19.04
3008,16.64
3009,12.22
3010,12.53
3101,11.64
3102,10.65
3103,8.61
3104,8.59
3105,10.04
3106,15.36
3107,18.31
3108,14.01
3201,9.13
3202,9.3
3203,8.16
3204,8.36
3205,8.46
3206,9.15
3207,8.8
3208,11.2
3209,11.58
3301,16.09
3302,14.84
3303,11.09
3304,15.66
3305,12.57
3306,14.93
3307,13.56
3308,14.58
3309,14.22
3310,14.75
3401,8.63
3402,6.68
3403,8.55
3404,3.08
3405,3.87
3406,6.94
3407,3.2
3408,4.73
3409,5.68
3501,2.02
3502,2.0
3503,1.39
3504,3.69
3505,2.72
3506,1.33
3507,2.18
3508,3.28
3509,2.5
3601,12.03
3602,12.31
3603,11.21
3604,11.31
3605,9.97
3606,11.25
3607,9.59
3608,10.7
3609,12.09
3610,9.98
3701,16.86
3801,12.13
3802,10.73
3803,10.9
3804,12.87
3805,9.69
3806,9.97
3807,12.96
3901,8.87
3902,9.79
3903,9.98
3904,12.3
3905,10.56
3906,10.29
3907,9.8
3908,11.97
3909,11.71
4001,14.01
4002,18.53
4003,18.67
4004,17.51
4101,4.83
4102,3.47
4103,4.76
4104,6.51
4105,4.66
4106,9.17
4107,8.34
4108,9.66
4109,6.29
4110,1.77
4201,4.0
4202,3.61
4203,5.58
4204,4.55
4205,7.1
4206,4.19
4207,1.98
4301,18.74
4302,20.07
4303,15.81
4401,9.89
4402,7.71
4403,8.51
4404,8.62
4405,9.54
4406,11.7
4501,4.59
4502,2.82
4503,2.58
4504,3.4
4505,3.93
4506,2.64
4507,2.26
4508,1.27
4509,4.0
4510,2.56
4601,16.41
4602,17.26
4603,15.54
4604,15.23
4605,11.05
4606,9.48
4701,10.31
4702,9.94
4703,9.24
4704,15.49
4705,13.79
4706,10.54
4707,17.3
4708,13.67
4709,11.34
4801,7.91
4802,7.68
4803,5.56
4804,5.78
4805,7.17
4806,9.16
4807,8.3
4808,6.09
4809,6.03
4810,5.53
