id,value
101,7.75
102,8.22
103,7.97
104,8.53
105,9.35
106,8.61
107,10.54
108,12.67
201,2.15
202,4.81
203,4.86
204,7.12
205,1.26
206,3.83
207,8.22
301,10.33
302,10.94
303,11.21
304,10.28
305,8.54
306,7.75
307,8.64
308,7.46
309,6.11
401,0.67
402,0.31
403,0.51
404,0.02
405,0.17
406,0.15
407,0.5
501,8.55
502,5.09
503,6.76
504,5.63
505,7.83
601,16.68
602,18.08
603,17.31
701,17.48
702,15.83
801,12.82
802,15.43
803,18.7
804,22.52
805,24.58
806,19.56
807,20.01
901,8.91
902,10.41
903,10.19
904,9.72
905,10.55
906,12.4
907,10.81
908,10.96
909,13.31
1001,4.43
1002,3.64
1003,3.25
1004,3.27
1005,1.13
1006,1.46
1007,0.73
1008,2.91
1009,1.87
1010,2.63
1101,11.54
1102,11.65
1103,9.43
1104,11.07
1105,12.08
1106,9.72
1107,11.09
1108,10.84
1109,13.08
1201,14.59
1202,13.71
1203,11.51
1204,13.01
1205,14.56
1206,13.93
1207,13.54
1208,14.72
1209,14.32
1301,9.59
1302,9.83
1303,10.97
1304,11.71
1305,11.8
1306,12.54
1307,13.16
1308,13.16
1309,11.06
1401,8.57
1402,10.45
1403,12.42
1404,8.68
1405,11.34
1406,10.35
1407,9.45
1408,11.98
1409,8.78
1501,13.08
1502,13.87
1503,12.62
1504,13.07
1601,8.26
1602,8.09
1603,7.95
1604,10.15
1605,11.09
1606,13.82
1607,19.04
1608,15.87
1609,15.54
1701,15.85
1702,17.62
1703,17.86
1801,14.95
1802,17.25
1803,12.88
1804,15.14
1805,15.34
1806,14.42
1807,11.48
1808,10.7
1901,15.74
1902,17.35
1903,18.09
2001,8.13
2002,6.59
2003,8.71
2004,9.2
2005,9.02
2006,9.82
2007,9.69
2008,11.15
2009,10.98
2010,11.44
2101,6.39
2102,6.24
2103,7.98
2104,7.54
2105,8.62
2106,8.72
2107,9.63
2108,11.84
2109,12.11
2201,6.54
2202,7.83
2203,6.89
2204,5.83
2205,7.6
2206,6.46
2207,9.9
2208,11.13
2209,10.12
2210,14.2
2301,12.79
2302,12.32
2303,9.46
2304,9.99
2305,10.4
2306,11.33
2401,5.07
2402,4.59
2403,3.84
2404,4.56
2405,2.61
2406,3.05
2407,2.4
2501,6.09
2502,7.63
2503,9.11
2505,9.46
2506,11.13
2507,9.02
2508,11.69
2509,11.93
2601,0.42
2602,1.52
2603,1.15
2604,0.79
2701,19.0
2702,19.33
2801,18.01
2802,16.39
2803,13.29
2901,5.74
2902,9.79
2903,9.32
2904,10.81
2905,9.71
2906,12.35
2907,7.28
2908,8.81
3001,16.57
3002,21.55
3003,16.03
3004,16.68
3005,16.95
3006,19.23
3007,14.55
3008,10.95
3009,13.41
3010,15.83
3101,14.19
3102,15.62
3103,18.14
3104,15.42
3105,16.2
3106,17.56
3107,17.31
3108,20.31
3201,4.62
3202,5.13
3203,5.98
3204,5.34
3205,5.78
3206,6.1
3207,3.46
3208,4.37
3209,7.08
3301,12.39
3302,13.78
3303,16.89
3304,13.73
3305,13.36
3306,14.82
3307,13.79
3308,12.34
3309,10.63
3310,11.61
3401,8.38
3402,8.19
3403,9.15
3404,8.98
3405,8.64
3406,7.81
3407,6.31
3408,4.07
3409,7.13
3501,2.52
3502,2.1
3503,1.84
3504,4.46
3505,1.7
3506,2.03
3507,1.68
3508,2.72
3509,0.93
3601,20.0
3602,21.54
3603,18.98
3604,13.5
3605,17.94
3606,18.93
3607,16.42
3608,12.28
3609,13.37
3610,17.64
3701,17.92
3801,16.63
3802,13.66
3803,15.71
3804,15.89
3805,13.2
3806,15.65
3807,14.49
3901,3.44
3902,4.79
3903,6.47
3904,5.04
3905,4.22
3906,5.24
3907,7.32
3908,6.24
3909,7.93
4001,12.28
4002,10.6
4003,10.57
4004,11.03
4101,7.26
4102,4.29
4103,4.46
4104,8.91
4105,6.2
4106,4.43
4107,7.54
4108,18.93
4109,5.15
4110,6.12
4201,1.75
4202,1.57
4203,1.98
4204,3.19
4205,3.49
4206,2.7
4207,2.39
4301,18.79
4302,17.71
4303,18.89
4401,15.57
4402,14.11
4403,13.88
4404,12.72
4405,15.7
4406,14.22
4501,4.36
4502,1.89
4503,2.46
4504,3.73
4505,4.73
4506,2.57
4507,1.57
4508,1.25
4509,3.48
4510,2.08
4601,11.61
4602,13.47
4603,14.11
4604,15.1
4605,15.46
4606,12.02
4701,9.21
4702,10.95
4703,10.3
4704,10.87
4705,8.69
4706,7.0
4707,10.92
4708,12.03
4709,10.05
4801,3.94
4802,3.14
4803,2.08
4804,1.58
4805,2.24
4806,3.1
4807,3.68
4808,3.65
4809,1.3
4810,2.49
