id,value
101,9.35
102,9.39
103,9.98
104,8.67
105,8.79
106,10.97
107,12.04
108,14.99
201,2.46
202,4.41
203,4.82
204,5.62
205,1.33
206,2.67
207,6.79
301,9.9
302,9.03
303,7.61
304,11.33
305,9.59
306,8.7
307,12.92
308,12.52
309,11.9
401,0.93
402,0.63
403,0.81
404,0.06
405,0.19
406,0.08
407,0.38
501,6.28
502,4.18
503,8.1
504,5.97
505,5.87
601,12.41
602,10.11
603,10.74
701,10.22
702,9.0
801,12.75
802,18.28
803,20.41
804,20.4
805,20.94
806,24.64
807,17.0
901,8.52
902,9.49
903,10.12
904,11.57
905,14.98
906,14.85
907,12.55
908,15.96
909,20.1
1001,2.55
1002,2.52
1003,2.19
1004,2.53
1005,0.87
1006,1.17
1007,0.7
1008,2.64
1009,1.65
1010,2.77
1101,18.69
1102,19.78
1103,11.01
1104,10.92
1105,13.41
1106,7.09
1107,9.47
1108,6.48
1109,7.7
1201,15.64
1202,15.04
1203,14.58
1204,10.43
1205,9.22
1206,9.83
1207,7.97
1208,8.21
1209,8.9
1301,12.76
1302,18.31
1303,20.96
1304,13.4
1305,16.07
1306,18.7
1307,13.92
1308,15.81
1309,18.53
1401,8.1
1402,10.57
1403,11.21
1404,8.05
1405,10.54
1406,14.31
1407,6.35
1408,12.71
1409,21.63
1501,7.31
1502,9.73
1503,9.8
1504,9.24
1601,17.07
1602,14.56
1603,14.9
1604,16.09
1605,15.36
1606,14.62
1607,20.19
1608,18.18
1609,18.53
1701,12.4
1702,8.66
1703,9.0
1801,8.43
1802,8.79
1803,7.23
1804,8.49
1805,8.22
1806,9.52
1807,10.94
1808,15.34
1901,12.13
1902,8.98
1903,7.18
2001,6.13
2002,6.67
2003,7.73
2004,8.73
2005,8.6
2006,9.46
2007,8.13
2008,11.85
2009,11.98
2010,10.69
2101,10.17
2102,8.17
2103,7.53
2104,7.77
2105,8.36
2106,8.36
2107,10.82
2108,14.9
2109,19.05
2201,11.5
2202,11.01
2203,8.52
2204,12.93
2205,11.8
2206,11.22
2207,14.03
2208,15.8
2209,14.42
2210,15.29
2301,11.18
2302,9.21
2303,13.42
2304,14.68
2305,7.73
2306,6.21
2401,3.06
2402,3.92
2403,3.01
2404,3.6
2405,4.12
2406,3.87
2407,4.57
2501,5.19
2502,8.43
2503,11.75
2505,9.74
2506,13.19
2507,9.95
2508,11.28
2509,12.83
2601,0.41
2602,1.69
2603,1.56
2604,1.67
2701,12.75
2702,10.39
2801,16.26
2802,10.97
2803,11.7
2901,4.2
2902,6.42
2903,5.49
2904,5.94
2905,4.09
2906,5.59
2907,6.19
2908,4.78
3001,9.86
3002,12.03
3003,9.15
3004,13.38
3005,11.94
3006,10.43
3007,10.26
3008,9.85
3009,7.67
3010,8.85
3101,10.74
3102,9.65
3103,7.99
3104,7.71
3105,7.21
3106,9.69
3107,11.25
3108,10.37
3201,5.22
3202,7.47
3203,9.89
3204,4.8
3205,8.6
3206,9.59
3207,5.47
3208,8.61
3209,9.5
3301,15.23
3302,14.99
3303,12.51
3304,11.8
3305,11.04
3306,13.92
3307,13.21
3308,8.31
3309,9.95
3310,11.7
3401,6.12
3402,16.6
3403,19.04
3404,15.4
3405,23.67
3406,18.69
3407,16.96
3408,18.65
3409,17.47
3501,3.97
3502,2.97
3503,2.75
3504,4.87
3505,2.1
3506,1.85
3507,1.55
3508,2.25
3509,1.05
3601,13.64
3602,14.29
3603,12.96
3604,11.48
3605,10.81
3606,10.7
3607,11.51
3608,14.12
3609,15.66
3610,12.33
3701,8.01
3801,10.7
3802,7.42
3803,7.94
3804,12.7
3805,10.04
3806,12.25
3807,14.82
3901,6.96
3902,9.81
3903,8.09
3904,7.08
3905,5.76
3906,8.07
3907,9.37
3908,8.11
3909,10.29
4001,9.52
4002,9.71
4003,7.02
4004,6.06
4101,6.85
4102,12.18
4103,16.55
4104,16.98
4105,7.04
4106,14.57
4107,19.55
4108,22.2
4109,15.77
4110,12.78
4201,1.67
4202,2.69
4203,2.1
4204,3.53
4205,3.01
4206,1.82
4207,2.54
4301,13.75
4302,11.49
4303,11.07
4401,11.06
4402,10.54
4403,8.74
4404,9.09
4405,10.68
4406,9.93
4501,9.52
4502,3.25
4503,4.43
4504,5.94
4505,5.66
4506,1.98
4507,1.54
4508,1.0
4509,2.43
4510,2.15
4601,12.76
4602,14.22
4603,10.09
4604,13.68
4605,10.24
4606,10.84
4701,8.65
4702,9.26
4703,8.38
4704,15.45
4705,13.1
4706,10.62
4707,23.34
4708,19.85
4709,17.59
4801,4.92
4802,4.32
4803,2.81
4804,3.55
4805,4.96
4806,5.43
4807,3.97
4808,3.83
4809,4.06
4810,2.95
