id,value,anomaly
101,77.6667,0.23
102,78.1333,0.8877
103,79.4,0.3777
104,78.9667,1.061
105,78.6333,0.9683
106,80.4333,0.6077
107,80.0667,0.1553
108,80.6333,0.2167
201,80.3,0.1717
202,70.0,0.031
203,76.5333,1.0143
204,76.8333,1.057
205,89.7667,1.3083
206,87.4333,1.1603
207,79.6333,0.8353
301,76.0333,0.3997
302,77.1667,0.783
303,79.0,0.4557
304,78.2667,0.1883
305,80.0,0.657
306,80.2333,0.279
307,80.0667,0.4467
308,80.8667,0.7
309,81.0333,0.7767
401,63.6667,-0.7677
402,67.3333,-1.674
403,58.9333,-2.378
404,68.1,1.0693
405,70.6667,-0.9113
406,70.1667,0.884
407,82.2333,0.2373
501,68.5333,-0.53
502,60.7333,-0.196
503,71.4,-0.012
504,64.6667,0.1887
505,56.9,-0.5967
601,68.6667,2.0927
602,70.4333,2.0473
603,71.8,2.356
701,75.1667,2.0943
702,75.2667,1.893
801,80.6667,0.323
802,80.6,0.5473
803,81.1667,0.726
804,81.6333,1.007
805,82.2667,1.072
806,82.0,1.091
807,83.3333,1.2743
901,77.5667,0.528
902,75.8667,0.2533
903,77.1333,0.2253
904,78.5667,0.6613
905,79.5667,0.3243
906,79.6333,0.3453
907,80.2667,0.3143
908,79.9667,0.2157
909,80.5,0.347
1001,58.9,-1.29
1002,60.5,-1.518
1003,63.6667,-1.442
1004,56.7333,-1.337
1005,67.8,-2.072
1006,63.1333,-2.0163
1007,65.0667,-1.8917
1008,56.4333,-1.468
1009,61.8,-2.432
1010,60.1667,-1.6973
1101,74.6,3.349
1102,74.8,3.8283
1103,75.4667,1.751
1104,75.6333,2.732
1105,75.6667,3.3693
1106,76.3667,1.657
1107,76.3667,2.047
1108,77.0667,1.1323
1109,77.1,1.266
1201,74.8,3.6937
1202,74.0,3.15
1203,73.5667,2.921
1204,75.2,2.5217
1205,74.7,2.3437
1206,73.8,2.3873
1207,76.5667,1.688
1208,75.3667,1.5647
1209,75.3333,1.9247
1301,72.0333,1.561
1302,72.0,2.02
1303,72.4333,2.81
1304,73.2,1.549
1305,73.3333,1.764
1306,74.3333,2.825
1307,74.4667,1.424
1308,74.1333,1.07
1309,74.9,1.73
1401,74.1,0.087
1402,76.2333,0.1397
1403,76.1,0.4607
1404,74.8,-0.3003
1405,77.2333,0.0593
1406,76.6,0.1627
1407,75.7333,-0.9377
1408,77.3,-0.9197
1409,77.3,-0.4683
1501,77.3667,0.7627
1502,76.3333,1.365
1503,75.7333,2.0337
1504,75.0333,1.8413
1601,81.7,0.6177
1602,81.1333,0.7607
1603,81.4333,0.7343
1604,81.1,0.3213
1605,81.7333,0.4433
1606,81.0,0.3543
1607,81.9333,0.243
1608,81.9667,0.7033
1609,82.1,0.7163
1701,63.8667,2.4457
1702,66.7333,2.3167
1703,66.4667,2.5513
1801,75.9,1.7207
1802,76.3333,1.985
1803,76.5333,1.816
1804,76.6667,2.2613
1805,76.1667,2.161
1806,74.8,2.2603
1807,73.2667,1.8997
1808,68.3,2.335
1901,67.1333,1.956
1902,69.4667,1.8253
1903,69.8,1.9493
2001,66.4667,4.178
2002,66.2667,3.9483
2003,68.9,4.4137
2004,68.0,3.5543
2005,70.5667,4.1417
2006,70.2667,3.4383
2007,70.6667,3.3413
2008,72.5667,3.4283
2009,71.8667,3.007
2010,72.0333,3.1087
2101,68.3333,2.647
2102,66.8333,2.868
2103,64.9333,3.2463
2104,70.1667,2.0013
2105,70.4333,2.3457
2106,68.6333,2.594
2107,70.7667,1.532
2108,71.6,1.9433
2109,71.5333,2.886
2201,80.6,0.2857
2202,79.1667,-0.209
2203,78.6333,-0.009
2204,81.0,0.3627
2205,79.5,0.037
2206,79.5,0.054
2207,80.5,0.2653
2208,80.2,0.2237
2209,80.0333,0.1907
2210,80.7,0.6617
2301,75.7333,0.8553
2302,75.9667,0.9303
2303,76.6667,0.3887
2304,76.2333,0.4537
2305,75.9333,0.6793
2306,78.4,0.315
2401,57.0333,-1.1023
2402,56.2667,-0.8937
2403,62.0667,-1.089
2404,61.1667,-1.056
2405,62.8333,-0.5067
2406,67.0333,0.877
2407,67.8,0.2123
2501,69.2,0.4047
2502,71.1,0.3827
2503,73.1667,0.9693
2505,72.2333,0.126
2506,74.7667,1.2747
2507,72.8,0.211
2508,74.1667,0.2393
2509,75.4333,0.773
2601,65.6333,-2.3363
2602,62.3,-2.1463
2603,68.7,-1.0247
2604,83.0333,0.075
2701,64.0,2.2937
2702,67.3667,2.1867
2801,71.8,2.2567
2802,74.2,1.9193
2803,73.5333,1.8447
2901,68.3,-0.165
2902,63.9333,-0.3913
2903,73.8667,0.1553
2904,65.6667,-0.1643
2905,74.5333,0.7617
2906,68.0,0.7013
2907,76.6,0.924
2908,77.0667,0.7
3001,68.2667,2.7367
3002,67.9333,2.5197
3003,64.8333,2.551
3004,72.4,2.0337
3005,70.5,2.2107
3006,68.6333,2.2767
3007,67.2,2.519
3008,67.8333,2.768
3009,69.9,2.8627
3010,69.6667,2.6463
3101,70.5333,0.397
3102,71.9,1.1627
3103,76.4,1.052
3104,76.6,0.7743
3105,77.4333,0.5477
3106,78.0,0.3383
3107,77.8667,0.4267
3108,77.4333,0.928
3201,66.5667,1.46
3202,67.2,1.9613
3203,67.4,2.1477
3204,67.6333,1.1327
3205,67.9667,1.719
3206,69.0333,1.8933
3207,67.5333,0.897
3208,68.3333,0.8843
3209,69.1667,1.591
3301,74.0667,2.842
3302,73.2,2.4017
3303,71.9667,3.303
3304,73.7667,2.5133
3305,73.8,2.3307
3306,72.3667,2.7533
3307,72.3667,2.9253
3308,74.8333,2.498
3309,74.6333,2.3617
3310,73.4333,2.366
3401,76.1,-1.311
3402,78.7667,-1.0073
