id,value
101,8.51
102,8.96
103,6.88
104,7.97
105,8.21
106,7.53
107,8.87
108,10.98
201,2.72
202,3.27
203,4.93
204,5.41
205,1.11
206,2.09
207,6.4
301,15.22
302,9.21
303,7.67
304,11.88
305,8.14
306,5.54
307,10.55
308,7.27
309,6.23
401,0.8
402,0.72
403,0.99
404,0.29
405,0.54
406,0.19
407,0.72
501,5.3
502,3.78
503,5.58
504,4.95
505,4.45
601,18.72
602,14.84
603,15.85
701,13.2
702,16.24
801,12.68
802,16.96
803,18.95
804,19.18
805,20.01
806,19.23
807,19.29
901,10.69
902,10.49
903,10.78
904,9.34
905,9.96
906,11.79
907,11.31
908,14.85
909,14.15
1001,3.16
1002,2.18
1003,1.88
1004,1.9
1005,0.49
1006,0.55
1007,0.28
1008,1.53
1009,0.9
1010,1.86
1101,14.57
1102,14.44
1103,13.31
1104,11.76
1105,11.67
1106,17.11
1107,19.43
1108,17.2
1109,16.91
1201,13.04
1202,12.74
1203,13.23
1204,14.44
1205,12.92
1206,13.28
1207,19.23
1208,16.3
1209,14.61
1301,9.75
1302,14.78
1303,16.46
1304,9.55
1305,12.92
1306,14.4
1307,13.92
1308,14.91
1309,13.99
1401,6.45
1402,6.42
1403,11.61
1404,6.65
1405,8.72
1406,8.8
1407,6.43
1408,9.77
1409,12.31
1501,10.49
1502,11.98
1503,13.19
1504,15.64
1601,5.64
1602,7.65
1603,6.68
1604,7.38
1605,8.99
1606,11.73
1607,11.09
1608,14.04
1609,13.94
1701,9.67
1702,9.24
1703,8.87
1801,16.9
1802,17.48
1803,18.14
1804,15.97
1805,15.94
1806,13.58
1807,13.55
1808,14.47
1901,20.45
1902,15.17
1903,11.7
2001,10.45
2002,7.7
2003,8.41
2004,8.63
2005,9.81
2006,10.36
2007,11.36
2008,11.6
2009,12.13
2010,13.09
2101,12.71
2102,12.89
2103,12.34
2104,9.65
2105,10.74
2106,11.73
2107,9.12
2108,14.29
2109,18.15
2201,6.35
2202,7.39
2203,8.35
2204,6.22
2205,6.72
2206,7.37
2207,9.53
2208,9.89
2209,10.32
2210,10.78
2301,15.2
2302,16.21
2303,12.64
2304,12.96
2305,12.24
2306,9.55
2401,2.96
2402,2.87
2403,3.59
2404,3.91
2405,3.3
2406,7.1
2407,4.65
2501,3.72
2502,6.5
2503,8.42
2505,7.85
2506,10.21
2507,5.55
2508,9.92
2509,11.81
2601,0.45
2602,1.21
2603,2.26
2604,1.19
2701,10.68
2702,12.81
2801,16.24
2802,14.84
2803,16.49
2901,2.75
2902,5.8
2903,6.63
2904,4.99
2905,5.06
2906,7.77
2907,5.69
2908,6.62
3001,12.6
3002,14.7
3003,14.13
3004,13.64
3005,16.8
3006,15.83
3007,11.71
3008,12.24
3009,12.77
3010,11.56
3101,11.9
3102,12.12
3103,14.43
3104,10.61
3105,10.11
3106,18.28
3107,19.33
3108,18.13
3201,9.3
3202,11.18
3203,12.59
3204,8.44
3205,11.87
3206,11.74
3207,6.32
3208,8.61
3209,9.0
3301,13.39
3302,14.95
3303,13.06
3304,12.25
3305,11.37
3306,12.18
3307,13.11
3308,12.46
3309,13.71
3310,11.0
3401,6.62
3402,8.68
3403,12.44
3404,8.87
3405,10.78
3406,13.32
3407,8.09
3408,8.33
3409,10.46
3501,3.72
3502,2.31
3503,1.55
3504,3.62
3505,1.09
3506,0.85
3507,0.73
3508,1.61
3509,0.76
3601,14.19
3602,13.57
3603,12.12
3604,11.01
3605,12.01
3606,10.77
3607,11.73
3608,10.85
3609,12.89
3610,13.04
3701,12.71
3801,11.42
3802,8.92
3803,11.14
3804,15.23
3805,12.35
3806,11.77
3807,14.51
3901,5.33
3902,7.69
3903,9.77
3904,5.45
3905,4.5
3906,5.63
3907,8.2
3908,5.8
3909,8.16
4001,11.54
4002,11.59
4003,8.96
4004,7.55
4101,6.75
4102,7.07
4103,7.22
4104,7.31
4105,5.19
4106,5.71
4107,5.89
4108,6.13
4109,3.63
4110,4.59
4201,1.82
4202,2.28
4203,2.34
4204,3.31
4205,3.35
4206,2.13
4207,1.72
4301,11.46
4302,13.75
4303,16.13
4401,18.61
4402,14.51
4403,14.02
4404,13.41
4405,15.12
4406,14.86
4501,8.62
4502,2.82
4503,3.82
4504,5.52
4505,5.88
4506,1.9
4507,1.33
4508,0.74
4509,2.81
4510,1.52
4601,13.0
4602,14.88
4603,16.88
4604,16.8
4605,15.9
4606,13.64
4701,14.52
4702,14.88
4703,13.97
4704,16.02
4705,15.4
4706,12.5
4707,16.81
4708,14.5
4709,13.8
4801,4.05
4802,3.36
4803,1.92
4804,2.34
4805,3.08
4806,4.0
4807,3.16
4808,2.54
4809,2.01
4810,1.8
