id,value
101,17.15
102,17.11
103,22.8
104,18.18
105,21.81
106,21.58
107,23.79
108,26.69
201,2.62
202,3.58
203,4.79
204,4.36
205,2.4
206,2.85
207,5.08
301,8.38
302,8.32
303,10.32
304,9.3
305,9.99
306,9.77
307,7.03
308,8.54
309,9.18
401,2.22
402,1.58
403,1.49
404,0.3
405,0.45
406,0.27
407,1.13
501,5.17
502,4.82
503,8.8
504,6.28
505,3.75
601,9.56
602,7.77
603,7.4
701,10.03
702,12.55
801,24.73
802,21.88
803,25.94
804,25.98
805,29.02
806,26.22
807,27.7
901,17.83
902,25.37
903,23.06
904,24.41
905,20.6
906,19.07
907,24.64
908,21.44
909,20.11
1001,5.66
1002,3.12
1003,2.91
1004,3.78
1005,1.43
1006,2.19
1007,1.21
1008,4.39
1009,2.05
1010,4.12
1101,7.68
1102,7.1
1103,7.04
1104,6.94
1105,10.01
1106,7.93
1107,9.65
1108,11.37
1109,12.65
1201,10.39
1202,10.91
1203,10.08
1204,13.13
1205,13.22
1206,12.32
1207,14.24
1208,13.78
1209,12.51
1301,11.18
1302,14.22
1303,14.07
1304,10.94
1305,12.76
1306,7.98
1307,11.62
1308,11.19
1309,9.23
1401,10.55
1402,13.98
1403,17.32
1404,8.6
1405,13.92
1406,22.3
1407,8.55
1408,16.01
1409,19.14
1501,16.94
1502,14.17
1503,11.31
1504,11.64
1601,8.77
1602,8.6
1603,8.05
1604,10.87
1605,11.36
1606,16.81
1607,12.39
1608,14.78
1609,20.97
1701,12.82
1702,10.96
1703,9.43
1801,12.3
1802,11.67
1803,10.89
1804,12.09
1805,11.32
1806,12.64
1807,9.84
1808,10.46
1901,10.84
1902,9.51
1903,7.04
2001,8.36
2002,7.17
2003,9.72
2004,10.61
2005,8.64
2006,9.65
2007,9.88
2008,9.48
2009,9.53
2010,9.17
2101,12.62
2102,10.71
2103,8.86
2104,13.81
2105,11.97
2106,10.93
2107,11.79
2108,12.02
2109,12.9
2201,9.89
2202,13.13
2203,19.77
2204,11.1
2205,15.58
2206,21.01
2207,12.49
2208,18.34
2209,21.34
2210,23.64
2301,14.36
2302,10.46
2303,14.94
2304,10.19
2305,11.68
2306,13.89
2401,6.17
2402,6.71
2403,7.0
2404,6.94
2405,5.55
2406,7.75
2407,6.58
2501,10.24
2502,10.01
2503,10.9
2505,10.48
2506,9.33
2507,10.2
2508,10.59
2509,11.89
2601,0.75
2602,1.61
2603,1.91
2604,1.67
2701,15.1
2702,12.61
2801,9.44
2802,10.9
2803,10.05
2901,2.99
2902,4.8
2903,6.86
2904,3.7
2905,3.1
2906,5.03
2907,5.29
2908,3.38
3001,11.38
3002,11.1
3003,14.62
3004,6.27
3005,10.97
3006,10.84
3007,14.36
3008,13.09
3009,11.67
3010,11.85
3101,23.74
3102,17.03
3103,11.27
3104,13.51
3105,14.7
3106,15.03
3107,14.54
3108,12.77
3201,10.41
3202,13.8
3203,11.94
3204,10.43
3205,11.13
3206,12.9
3207,8.6
3208,10.53
3209,15.46
3301,9.59
3302,11.99
3303,12.48
3304,10.49
3305,11.2
3306,12.93
3307,11.24
3308,11.02
3309,10.16
3310,9.79
3401,10.01
3402,15.75
3403,12.99
3404,13.51
3405,15.63
3406,11.38
3407,10.84
3408,12.76
3409,7.02
3501,5.13
3502,3.77
3503,1.81
3504,4.87
3505,1.21
3506,1.04
3507,1.06
3508,2.16
3509,1.32
3601,9.51
3602,10.42
3603,11.3
3604,12.26
3605,10.47
3606,11.04
3607,9.64
3608,9.22
3609,9.93
3610,11.38
3701,7.28
3801,31.22
3802,18.65
3803,14.01
3804,17.11
3805,17.24
3806,16.56
3807,18.48
3901,6.79
3902,8.67
3903,12.94
3904,7.2
3905,7.02
3906,6.81
3907,10.12
3908,9.25
3909,9.87
4001,14.05
4002,13.75
4003,16.22
4004,16.48
4101,8.05
4102,10.55
4103,8.52
4104,8.45
4105,5.75
4106,8.05
4107,6.36
4108,9.27
4109,4.13
4110,5.74
4201,2.32
4202,3.25
4203,2.31
4204,4.34
4205,3.67
4206,2.96
4207,3.02
4301,13.58
4302,13.79
4303,11.65
4401,12.28
4402,9.94
4403,11.56
4404,10.78
4405,12.19
4406,12.17
4501,6.95
4502,3.78
4503,4.3
4504,6.06
4505,6.34
4506,2.37
4507,1.73
4508,0.67
4509,4.64
4510,2.08
4601,10.33
4602,11.68
4603,12.86
4604,13.21
4605,13.45
4606,9.94
4701,8.93
4702,9.25
4703,8.98
4704,11.42
4705,9.82
4706,8.34
4707,12.31
4708,8.94
4709,7.05
4801,7.04
4802,5.76
4803,2.58
4804,3.49
4805,4.21
4806,4.74
4807,5.61
4808,5.83
4809,2.53
4810,2.36
