id,value,anomaly
101,79.6667,2.23
102,79.7,2.4543
103,81.6,2.5777
104,80.8667,2.961
105,80.9,3.235
106,82.6333,2.8077
107,82.4,2.4887
108,83.3333,2.9167
201,81.7333,1.605
202,71.8333,1.8643
203,78.0333,2.5143
204,78.0667,2.2903
205,91.0333,2.575
206,89.0667,2.7937
207,81.5,2.702
301,80.9667,5.333
302,80.5,4.1163
303,82.1,3.5557
304,83.5667,5.4883
305,83.7667,4.4237
306,83.2667,3.3123
307,85.4,5.78
308,84.8333,4.6667
309,83.9,3.6433
401,64.0,-0.4343
402,67.9,-1.1073
403,60.3667,-0.9447
404,66.9667,-0.064
405,70.9667,-0.6113
406,69.9,0.6173
407,82.8,0.804
501,73.1,4.0367
502,62.8333,1.904
503,74.5333,3.1213
504,67.2667,2.7887
505,60.5,3.0033
601,68.7333,2.1593
602,70.7,2.314
603,72.3,2.856
701,76.4333,3.361
702,76.8667,3.493
801,83.2667,2.923
802,82.6333,2.5807
803,82.5,2.0593
804,82.5667,1.9403
805,82.9667,1.772
806,83.0667,2.1577
807,84.0,1.941
901,79.6667,2.628
902,78.3333,2.72
903,79.8667,2.9587
904,80.9333,3.028
905,82.5,3.2577
906,82.6667,3.3787
907,82.7,2.7477
908,82.9,3.149
909,83.2333,3.0803
1001,59.2333,-0.9567
1002,61.5333,-0.4847
1003,64.8333,-0.2753
1004,57.6333,-0.437
1005,69.2667,-0.6053
1006,64.6,-0.5497
1007,67.1,0.1417
1008,57.8333,-0.068
1009,64.0,-0.232
1010,61.8333,-0.0307
1101,73.6333,2.3823
1102,73.3333,2.3617
1103,75.7,1.9843
1104,75.2,2.2987
1105,74.6667,2.3693
1106,77.1333,2.4237
1107,76.7333,2.4137
1108,79.1,3.1657
1109,78.3,2.466
1201,73.2333,2.127
1202,73.2,2.35
1203,73.2333,2.5877
1204,74.8,2.1217
1205,74.5667,2.2103
1206,74.0333,2.6207
1207,77.1,2.2213
1208,75.7333,1.9313
1209,75.7667,2.358
1301,72.2,1.7277
1302,71.5667,1.5867
1303,71.6,1.9767
1304,73.0333,1.3823
1305,73.1,1.5307
1306,73.4,1.8917
1307,74.7667,1.724
1308,75.0333,1.97
1309,75.2333,2.0633
1401,76.8333,2.8203
1402,78.6,2.5063
1403,78.6,2.9607
1404,79.2,4.0997
1405,81.6,4.426
1406,80.8,4.3627
1407,82.1,5.429
1408,84.3333,6.1137
1409,83.0333,5.265
1501,78.9,2.296
1502,77.2333,2.265
1503,75.6,1.9003
1504,74.7667,1.5747
1601,87.0667,5.9843
1602,85.4667,5.094
1603,84.8333,4.1343
1604,85.6667,4.888
1605,84.8333,3.5433
1606,83.7667,3.121
1607,84.6333,2.943
1608,83.9,2.6367
1609,84.3333,2.9497
1701,62.9,1.479
1702,65.8667,1.45
1703,65.6667,1.7513
1801,77.5,3.3207
1802,77.6,3.2517
1803,77.9667,3.2493
1804,78.1333,3.728
1805,77.7333,3.7277
1806,75.7667,3.227
1807,73.9,2.533
1808,68.1333,2.1683
1901,66.9667,1.7893
1902,69.5333,1.892
1903,70.3,2.4493
2001,64.9,2.6113
2002,64.8333,2.515
2003,67.7,3.2137
2004,67.2667,2.821
2005,68.9667,2.5417
2006,69.5,2.6717
2007,70.1333,2.808
2008,71.5333,2.395
2009,71.0667,2.207
2010,71.8667,2.942
2101,67.0667,1.3803
2102,65.8333,1.868
2103,63.8,2.113
2104,69.7333,1.568
2105,69.9333,1.8457
2106,68.0,1.9607
2107,70.8667,1.632
2108,71.6333,1.9767
2109,70.7,2.0527
2201,83.3,2.9857
2202,82.2667,2.891
2203,81.0333,2.391
2204,83.7333,3.096
2205,82.3333,2.8703
2206,82.0667,2.6207
2207,83.6,3.3653
2208,83.0,3.0237
2209,82.4333,2.5907
2210,83.2333,3.195
2301,77.4667,2.5887
2302,77.7,2.6637
2303,79.9,3.622
2304,80.3667,4.587
2305,78.4,3.146
2306,81.0333,2.9483
2401,58.0667,-0.069
2402,57.7667,0.6063
2403,63.6,0.4443
2404,62.9,0.6773
2405,64.6,1.26
2406,66.8667,0.7103
2407,68.1333,0.5457
2501,71.3667,2.5713
2502,71.9333,1.216
2503,73.3,1.1027
2505,73.2333,1.126
2506,74.9,1.408
2507,74.1667,1.5777
2508,75.2,1.2727
2509,76.2333,1.573
2601,67.6,-0.3697
2602,64.2333,-0.213
2603,70.6,0.8753
2604,83.9667,1.0083
2701,63.2,1.4937
2702,67.1,1.92
2801,72.5,2.9567
2802,75.8667,3.586
2803,75.6,3.9113
2901,70.9333,2.4683
2902,68.0,3.6753
2903,79.5333,5.822
2904,68.8,2.969
2905,77.8667,4.095
2906,72.1333,4.8347
2907,81.9,6.224
2908,80.2333,3.8667
3001,67.5667,2.0367
3002,67.1667,1.753
3003,64.5333,2.251
3004,73.9,3.5337
3005,70.4,2.1107
3006,67.9,1.5433
3007,66.7667,2.0857
3008,67.7333,2.668
3009,69.3333,2.296
3010,69.1,2.0797
3101,72.5667,2.4303
3102,73.2333,2.496
3103,78.4,3.052
3104,78.7333,2.9077
3105,79.6667,2.781
3106,80.9667,3.305
3107,80.3333,2.8933
3108,79.2667,2.7613
3201,66.7333,1.6267
3202,66.9333,1.6947
3203,66.6333,1.381
3204,67.0333,0.5327
3205,67.3,1.0523
3206,68.6333,1.4933
3207,67.0667,0.4303
3208,67.6333,0.1843
3209,68.9,1.3243
3301,74.0333,2.8087
3302,73.1667,2.3683
3303,71.3333,2.6697
3304,73.9,2.6467
3305,73.5,2.0307
3306,71.8,2.1867
3307,71.8333,2.392
3308,74.7667,2.4313
3309,74.0333,1.7617
3310,72.6,1.5327
3401,83.2333,5.8223
3402,86.5667,6.7927
3403,85.2333,5.8487
3404,87.4333,7.655
3405,87.6333,7.2453
3406,86.2333,6.3133
3407,90.1333,8.8207
3408,88.7,7.4247
3409,85.8,6.613
3501,60.1667,0.1313
3502,61.7667,-0.8633
3503,62.3667,-0.4563
3504,56.3,-1.6543
3505,57.1667,-0.988
3506,63.9333,-1.146
3507,60.7333,-0.7437
3508,59.5,-0.8773
3509,65.9333,-0.486
3601,68.3667,2.1043
3602,71.3333,2.7017
3603,74.4667,3.0747
3604,74.2333,3.133
3605,71.4333,2.1863
3606,68.1667,2.1003
3607,69.3,2.106
3608,71.3333,2.3433
3609,70.8,1.889
3610,68.6333,2.4283
3701,70.4333,2.549
3801,77.6,2.941
3802,80.3333,3.0883
3803,80.6667,2.861
3804,81.7333,2.9933
3805,81.9333,3.102
3806,82.3667,3.3143
3807,82.7667,3.394
3901,69.0,0.7417
3902,69.6667,0.6207
3903,70.1,1.7907
3904,66.4333,1.773
3905,71.5333,1.311
3906,71.6667,0.6507
3907,70.7333,1.3617
3908,71.8,0.5443
3909,72.8333,1.4777
4001,76.4,2.2703
4002,75.8,2.219
4003,78.6667,2.43
4004,80.7333,2.793
4101,84.2,6.6587
4102,89.1,7.522
4103,88.8667,6.371
4104,87.3,5.658
4105,85.0,5.7493
4106,86.2667,4.7347
4107,86.9333,3.8683
4108,86.0667,3.891
4109,87.9333,3.1137
4110,86.5,1.9103
4201,71.2333,0.3253
4202,78.8333,1.2263
4203,69.3333,0.5723
4204,65.9,0.783
4205,59.6667,0.2907
4206,68.4333,1.19
4207,74.7,1.8663
4301,64.5,1.8463
4302,66.4667,2.1343
4303,65.8667,2.112
4401,78.4,2.6107
4402,77.2,2.4027
4403,76.0333,2.5797
4404,75.1667,3.004
4405,72.6667,2.4087
4406,71.7333,2.0523
4501,57.4,-0.376
4502,59.4333,-0.2897
4503,60.8,-0.5957
4504,58.3,-1.065
4505,53.7667,-1.8943
4506,56.3333,-1.489
4507,63.9,-1.8953
4508,67.0667,-1.406
4509,60.3,-1.2993
4510,63.4667,-1.1423
4601,73.0333,1.757
4602,72.5667,1.702
4603,74.6667,1.807
4604,68.8667,1.8937
4605,71.9333,2.0073
4606,72.6667,2.2013
4701,67.0,1.8863
4702,66.3,2.174
4703,66.7667,2.481
4704,70.0,1.956
4705,69.5333,2.1023
4706,68.9,2.2657
4707,71.4333,2.2263
4708,71.1667,2.1353
4709,70.4667,1.607
4801,55.3333,0.5483
4802,54.2333,-0.3177
4803,60.1333,0.4753
4804,64.1333,1.5997
4805,66.6333,1.672
4806,67.3,1.766
4807,69.0333,1.9857
4808,67.5,2.534
4809,62.5333,1.0137
4810,62.5,1.114
