id,value
101,13.84
102,13.99
103,15.61
104,13.63
105,12.1
106,14.14
107,15.66
108,17.81
201,0.96
202,2.74
203,3.64
204,5.97
205,0.79
206,2.94
207,6.5
301,10.42
302,9.28
303,8.61
304,14.83
305,12.31
306,11.75
307,19.57
308,16.36
309,12.72
401,0.63
402,0.68
403,1.46
404,0.01
405,0.37
406,0.08
407,0.36
501,8.32
502,3.36
503,9.72
504,5.99
505,5.25
601,13.79
602,12.0
603,11.5
701,16.34
702,16.53
801,19.3
802,20.32
803,19.71
804,17.15
805,19.59
806,18.74
807,17.18
901,12.7
902,11.68
903,11.1
904,10.37
905,11.32
906,13.18
907,14.1
908,12.75
909,14.99
1001,3.92
1002,1.65
1003,1.51
1004,1.91
1005,0.66
1006,1.29
1007,0.54
1008,1.49
1009,1.03
1010,1.49
1101,12.7
1102,13.54
1103,10.64
1104,9.39
1105,11.89
1106,8.87
1107,8.01
1108,9.22
1109,11.74
1201,14.88
1202,14.25
1203,13.56
1204,10.18
1205,10.13
1206,9.97
1207,10.69
1208,10.68
1209,11.88
1301,13.51
1302,12.66
1303,10.99
1304,17.15
1305,11.71
1306,9.3
1307,12.17
1308,10.94
1309,8.58
1401,13.5
1402,11.48
1403,15.38
1404,12.48
1405,12.77
1406,15.95
1407,15.3
1408,14.66
1409,12.13
1501,12.12
1502,13.68
1503,12.34
1504,13.58
1601,21.14
1602,19.62
1603,13.98
1604,16.42
1605,15.05
1606,15.73
1607,19.17
1608,20.25
1609,21.06
1701,14.79
1702,12.47
1703,11.2
1801,16.9
1802,15.53
1803,15.39
1804,14.72
1805,18.88
1806,18.56
1807,16.52
1808,17.24
1901,15.21
1902,11.79
1903,9.84
2001,12.58
2002,11.52
2003,10.31
2004,9.7
2005,10.8
2006,12.28
2007,12.09
2008,9.13
2009,9.93
2010,8.43
2101,7.52
2102,9.92
2103,12.55
2104,7.54
2105,8.23
2106,10.3
2107,10.96
2108,12.71
2109,10.55
2201,11.34
2202,14.15
2203,14.24
2204,13.31
2205,13.35
2206,14.29
2207,14.96
2208,14.44
2209,13.89
2210,18.71
2301,14.55
2302,10.95
2303,14.09
2304,9.62
2305,9.32
2306,10.78
2401,3.62
2402,2.52
2403,3.16
2404,2.52
2405,1.9
2406,4.0
2407,3.31
2501,6.9
2502,7.19
2503,10.96
2505,10.95
2506,11.88
2507,11.87
2508,16.62
2509,11.6
2601,1.2
2602,0.77
2603,1.04
2604,0.73
2701,15.16
2702,11.26
2801,15.38
2802,16.17
2803,13.68
2901,3.99
2902,8.9
2903,11.35
2904,7.6
2905,6.67
2906,10.55
2907,9.84
2908,6.8
3001,11.11
3002,15.22
3003,13.11
3004,12.93
3005,15.24
3006,13.18
3007,12.7
3008,12.41
3009,11.19
3010,10.84
3101,16.01
3102,18.52
3103,13.29
3104,13.12
3105,12.85
3106,19.15
3107,19.36
3108,18.47
3201,6.9
3202,8.55
3203,8.87
3204,6.37
3205,8.03
3206,7.43
3207,5.35
3208,6.23
3209,6.55
3301,9.95
3302,8.53
3303,11.62
3304,10.2
3305,10.17
3306,10.9
3307,11.96
3308,11.77
3309,12.43
3310,12.65
3401,14.26
3402,14.68
3403,10.38
3404,15.39
3405,16.55
3406,15.55
3407,15.85
3408,16.77
3409,18.54
3501,2.66
3502,2.42
3503,1.23
3504,3.47
3505,1.72
3506,1.07
3507,1.62
3508,1.64
3509,1.11
3601,15.16
3602,15.59
3603,16.3
3604,17.6
3605,13.53
3606,11.37
3607,12.65
3608,14.99
3609,13.98
3610,14.78
3701,11.01
3801,17.01
3802,11.33
3803,10.78
3804,16.59
3805,12.21
3806,11.44
3807,14.53
3901,4.17
3902,5.98
3903,5.83
3904,7.15
3905,4.72
3906,4.72
3907,5.67
3908,4.71
3909,8.17
4001,14.14
4002,14.15
4003,13.86
4004,14.73
4101,11.85
4102,10.47
4103,12.34
4104,15.03
4105,7.37
4106,7.56
4107,10.6
4108,17.31
4109,6.87
4110,6.54
4201,1.11
4202,1.2
4203,1.04
4204,1.86
4205,2.22
4206,1.8
4207,1.36
4301,14.78
4302,14.36
4303,12.81
4401,18.36
4402,14.21
4403,14.05
4404,16.74
4405,14.46
4406,13.78
4501,4.73
4502,1.94
4503,2.79
4504,4.33
4505,4.61
4506,1.57
4507,1.26
4508,0.62
4509,2.92
4510,1.26
4601,14.13
4602,16.82
4603,14.32
4604,17.64
4605,12.36
4606,17.13
4701,13.09
4702,14.01
4703,13.93
4704,11.26
4705,12.64
4706,12.1
4707,12.14
4708,14.94
4709,13.0
4801,2.85
4802,2.82
4803,1.85
4804,1.73
4805,2.77
4806,4.48
4807,3.51
4808,3.43
4809,1.41
4810,1.79
