id,value,anomaly
101,76.2667,-1.17
102,76.3333,-0.9123
103,78.0,-1.0223
104,77.1333,-0.7723
105,76.9333,-0.7317
106,78.8667,-0.959
107,78.9333,-0.978
108,79.9,-0.5167
201,81.9333,1.805
202,71.3,1.331
203,77.2,1.681
204,77.3333,1.557
205,90.3333,1.875
206,88.2333,1.9603
207,79.7,0.902
301,76.8,1.1663
302,77.7,1.3163
303,79.3667,0.8223
304,79.5,1.4217
305,79.9333,0.5903
306,80.4,0.4457
307,80.1333,0.5133
308,80.2,0.0333
309,80.3333,0.0767
401,65.3,0.8657
402,70.2333,1.226
403,63.3667,2.0553
404,68.6333,1.6027
405,73.2667,1.6887
406,70.9333,1.6507
407,84.1,2.104
501,71.2667,2.2033
502,63.6,2.6707
503,74.0,2.588
504,67.2667,2.7887
505,58.8667,1.37
601,67.5667,0.9927
602,69.9333,1.5473
603,71.3,1.856
701,74.2667,1.1943
702,74.3667,0.993
801,79.9,-0.4437
802,80.5333,0.4807
803,81.0,0.5593
804,81.2,0.5737
805,82.1,0.9053
806,82.0,1.091
807,83.1667,1.1077
901,76.1,-0.9387
902,74.6333,-0.98
903,76.0,-0.908
904,77.4667,-0.4387
905,78.6,-0.6423
906,79.2,-0.088
907,79.6333,-0.319
908,79.6333,-0.1177
909,80.4333,0.2803
1001,60.5667,0.3767
1002,62.7333,0.7153
1003,66.0333,0.9247
1004,59.7667,1.6963
1005,71.7,1.828
1006,67.2667,2.117
1007,69.3,2.3417
1008,60.6,2.6987
1009,66.5,2.268
1010,64.7333,2.8693
1101,71.7333,0.4823
1102,71.6667,0.695
1103,73.5333,-0.1823
1104,72.8667,-0.0347
1105,72.2333,-0.064
1106,74.4333,-0.2763
1107,73.9667,-0.353
1108,76.0667,0.1323
1109,75.5333,-0.3007
1201,71.1333,0.027
1202,70.7,-0.15
1203,70.6333,-0.0123
1204,72.2667,-0.4117
1205,72.0667,-0.2897
1206,71.3667,-0.046
1207,74.6333,-0.2453
1208,73.4667,-0.3353
1209,73.2,-0.2087
1301,71.5333,1.061
1302,70.7,0.72
1303,70.2667,0.6433
1304,72.4667,0.8157
1305,72.0333,0.464
1306,71.8,0.2917
1307,73.5,0.4573
1308,72.9667,-0.0967
1309,73.2,0.03
1401,76.2667,2.2537
1402,77.7333,1.6397
1403,76.3667,0.7273
1404,77.2,2.0997
1405,79.0667,1.8927
1406,77.6333,1.196
1407,78.6667,1.9957
1408,80.7,2.4803
1409,79.3,1.5317
1501,76.5,-0.104
1502,74.9,-0.0683
1503,73.7,0.0003
1504,72.8667,-0.3253
1601,81.0,-0.0823
1602,80.3,-0.0727
1603,80.5,-0.199
1604,80.6333,-0.1453
1605,80.5333,-0.7567
1606,80.1333,-0.5123
1607,81.0667,-0.6237
1608,80.8667,-0.3967
1609,81.2667,-0.117
1701,63.2,1.779
1702,66.7333,2.3167
1703,66.5,2.5847
1801,74.7667,0.5873
1802,75.2,0.8517
1803,74.9333,0.216
1804,75.0,0.5947
1805,75.2333,1.2277
1806,73.3333,0.7937
1807,71.4,0.033
1808,65.6,-0.365
1901,66.0667,0.8893
1902,69.2667,1.6253
1903,69.8333,1.9827
2001,64.8333,2.5447
2002,64.4,2.0817
2003,66.6333,2.147
2004,66.7,2.2543
2005,67.8333,1.4083
2006,68.4,1.5717
2007,69.2667,1.9413
2008,69.6667,0.5283
2009,69.3667,0.507
2010,70.2667,1.342
2101,67.6333,1.947
2102,66.4,2.4347
2103,64.2333,2.5463
2104,70.1333,1.968
2105,70.1333,2.0457
2106,68.3333,2.294
2107,70.6333,1.3987
2108,70.7667,1.11
2109,69.7667,1.1193
2201,80.1,-0.2143
2202,79.0667,-0.309
2203,77.8,-0.8423
2204,80.3,-0.3373
2205,78.6667,-0.7963
2206,78.8667,-0.5793
2207,79.1667,-1.068
2208,78.8667,-1.1097
2209,78.7333,-1.1093
2210,79.6667,-0.3717
2301,75.0,0.122
2302,75.0333,-0.003
2303,76.6333,0.3553
2304,76.7667,0.987
2305,75.9,0.646
2306,78.4,0.315
2401,59.2333,1.0977
2402,59.4333,2.273
2403,65.7,2.5443
2404,64.4667,2.244
2405,66.3333,2.9933
2406,67.9667,1.8103
2407,69.8667,2.279
2501,71.3667,2.5713
2502,72.0,1.2827
2503,72.6667,0.4693
2505,73.3,1.1927
2506,74.6333,1.1413
2507,74.5333,1.9443
2508,75.2,1.2727
2509,75.3667,0.7063
2601,69.9,1.9303
2602,67.1333,2.687
2603,72.1667,2.442
2604,85.1667,2.2083
2701,63.1333,1.427
2702,66.9667,1.7867
2801,70.8,1.2567
2802,73.7,1.4193
2803,73.4333,1.7447
2901,69.9,1.435
2902,65.9667,1.642
2903,75.9,2.1887
2904,66.7333,0.9023
2905,75.3,1.5283
2906,69.2,1.9013
2907,78.6667,2.9907
2908,77.8667,1.5
3001,66.0333,0.5033
3002,66.0667,0.653
3003,63.4,1.1177
3004,72.0333,1.667
3005,69.4,1.1107
3006,67.0,0.6433
3007,66.0667,1.3857
3008,67.1333,2.068
3009,68.2667,1.2293
3010,67.8333,0.813
3101,69.8667,-0.2697
3102,70.8,0.0627
3103,75.3,-0.048
3104,75.7333,-0.0923
3105,76.7333,-0.1523
3106,77.6667,0.005
3107,77.1,-0.34
3108,76.2333,-0.272
3201,66.5667,1.46
3202,66.7,1.4613
3203,66.8333,1.581
3204,67.9333,1.4327
3205,67.8,1.5523
3206,68.5333,1.3933
3207,68.1333,1.497
3208,68.6667,1.2177
3209,69.2667,1.691
3301,71.5667,0.342
3302,71.2667,0.4683
3303,69.6,0.9363
3304,71.1667,-0.0867
3305,71.4333,-0.036
3306,70.1667,0.5533
3307,69.8667,0.4253
3308,72.3667,0.0313
3309,72.1667,-0.105
3310,70.8667,-0.2007
3401,79.7667,2.3557
3402,82.6667,2.8927
3403,81.0333,1.6487
3404,82.5333,2.755
3405,82.1333,1.7453
3406,81.0333,1.1133
3407,83.8333,2.5207
3408,82.3667,1.0913
3409,79.8333,0.6463
3501,59.8333,-0.202
3502,62.2,-0.43
3503,63.3333,0.5103
3504,57.8333,-0.121
3505,59.4,1.2453
3506,65.6,0.5207
3507,62.8,1.323
3508,61.8,1.4227
3509,68.1,1.6807
3601,66.9667,0.7043
3602,69.2333,0.6017
3603,72.6333,1.2413
3604,72.1667,1.0663
3605,69.9333,0.6863
3606,66.5333,0.467
3607,67.4,0.206
3608,69.1333,0.1433
3609,68.8333,-0.0777
3610,66.7333,0.5283
3701,69.9333,2.049
3801,74.3667,-0.2923
3802,77.0,-0.245
3803,77.8,-0.0057
3804,78.6,-0.14
3805,78.5,-0.3313
3806,78.9333,-0.119
3807,79.5333,0.1607
3901,70.2333,1.975
3902,70.4667,1.4207
3903,70.3,1.9907
3904,66.9333,2.273
3905,72.3667,2.1443
3906,72.3667,1.3507
3907,71.1667,1.795
3908,72.5,1.2443
3909,72.5,1.1443
4001,73.5,-0.6297
4002,72.8667,-0.7143
4003,75.7667,-0.47
4004,78.1,0.1597
4101,80.4333,2.892
4102,83.9667,2.3887
4103,83.3667,0.871
4104,81.4333,-0.2087
4105,82.0667,2.816
4106,83.4667,1.9347
4107,84.0667,1.0017
4108,82.4333,0.2577
4109,86.8333,2.0137
4110,86.2333,1.6437
4201,73.5333,2.6253
4202,79.7333,2.1263
4203,71.9,3.139
4204,67.2333,2.1163
