name,acres,lon,lat,reporter,cause
KEVINJIK,232828.0,-142.2407,66.7925,Alaska Fire Service,Natural
POKER BROW,231389.0,-118.499,40.5857,Winnemucca District Office,Natural
SADLER,199288.0,-116.0009,40.1616,Elko District Office,Natural
STATE FIRE,158000.0,-80.7665,26.2337,Miccosukee Tribe,Arson/incendiarism
ANTELOPE 2,139754.6,-117.3437,39.9083,Battle Mountain District Office,Natural
MULE BUTTE,132208.0,-113.36,43.0774,Idaho Falls District,Natural
MEGRAM,124898.0,-123.375,41.1025,Shasta-Trinity National Forest,Natural
TRAILCANYN,95792.8,-116.6365,39.8113,Battle Mountain District Office,Natural
KINK,92010.0,-142.069,64.3663,Alaska Fire Service,Natural
UVGOON2,88345.0,-162.4362,67.816,Alaska Fire Service,Natural
SOMBRERO,80448.3,-118.1676,41.0682,Winnemucca District Office,Natural
THEDFORD,74500.0,-101.112054,42.1557191,Valentine National Wildlife Refuge,Equipment and vehicle use
CLOVER,73077.0,-116.9243,41.1427,Elko District Office,Equipment and vehicle use
DENIO COM,72179.0,-118.5949,41.5374,Winnemucca District Office,Natural
FRIENDLY,69060.0,-82.395,30.475,National Forests in Florida,Natural
WILLOW,65000.0,-117.13472222,34.2675,San Bernardino National Forest,Missing data/not specified/undetermined
GUN 2,60390.0,-121.66222222,40.22,Lassen National Forest,Missing data/not specified/undetermined
MELOZI MOR,59239.0,-153.517,65.5928,Alaska Fire Service,Natural
S RAILROAD,58707.4,-112.28472,39.66675,Richfield Field Office,Railroad operations and maintenance
LOWERLADUE,57576.0,-141.027,63.38389,Tok Area,Natural
FRENCHIE,54677.0,-116.319,40.4035,Elko District Office,Natural
GAP/ROUGH CREEK,51627.0,-104.01666667,47.67083333,Custer Gallatin National Forest,Debris and open burning
HARE,49551.0,-121.50055556,36.01694444,Los Padres National Forest,Natural
CEDARBUTTE,49364.0,-112.8292,43.3366,Idaho Falls District,Natural
JESSICA,48759.0,-141.2138,65.1647,Alaska Fire Service,Natural
ROSE,48479.0,-116.3406,40.6332,Elko District Office,Natural
NEW PASS,47626.0,-117.5009,39.6333,Carson City District Office,Natural
FISH 2,47133.0,-119.8749,40.008,Carson City District Office,Natural
WITCH,46956.0,-141.9357,65.283,Alaska Fire Service,Natural
LNU SIXTEE,40000.0,-122.3461,38.9616,Northern California District,Arson/incendiarism
BADGER FIR,40000.0,-119.35027778,41.65111111,Sheldon National Wildlife Refuge,Natural
PINGO,38174.0,-141.7269,65.615,Alaska Fire Service,Natural
UPPERWESTF,35874.0,-142.6522,63.583,Alaska Fire Service,Natural
EAST SLICK,35041.0,-115.35087,42.91542,Boise District,Power generation/transmission/distribution
BUCKS,34175.0,-121.31666667,39.90166667,Plumas National Forest,Natural
CHIMNEY,33581.0,-117.0246,41.4968,Winnemucca District Office,Natural
FISHEL CRK,33000.0,-107.8079,46.6328,Miles City Field Office,Natural
LONE BUTTE,31624.7,-117.3243,41.0971,Winnemucca District Office,Natural
PINE,30568.0,-121.07333333,41.70972222,Modoc National Forest,Natural
CHANNING,30000.0,-101.831836,36.094291,Texas A & M Forest Service,Missing data/not specified/undetermined
COSGRAVE,28918.0,-118.0515,40.7057,Winnemucca District Office,Natural
BIG CREEK,28634.0,-154.6859,65.2994,Alaska Fire Service,Natural
IZZENHOOD,28593.0,-116.927,40.8699,Elko District Office,Natural
