id,value,anomaly
101,78.0,0.5633
102,77.7,0.4543
103,78.8667,-0.1557
104,78.4667,0.561
105,77.6333,-0.0317
106,79.4333,-0.3923
107,79.4667,-0.4447
108,80.6333,0.2167
201,82.2333,2.105
202,72.6333,2.6643
203,77.9333,2.4143
204,78.3,2.5237
205,90.6667,2.2083
206,88.7,2.427
207,80.9,2.102
301,78.8667,3.233
302,79.1667,2.783
303,80.1333,1.589
304,81.4667,3.3883
305,82.0667,2.7237
306,81.0,1.0457
307,81.6,1.98
308,81.3667,1.2
309,81.0333,0.7767
401,65.2333,0.799
402,69.9667,0.9593
403,63.3,1.9887
404,68.4333,1.4027
405,73.3333,1.7553
406,71.6,2.3173
407,84.3,2.304
501,73.2,4.1367
502,65.0667,4.1373
503,76.4,4.988
504,69.0333,4.5553
505,60.7,3.2033
601,68.9667,2.3927
602,70.9,2.514
603,72.3667,2.9227
701,76.1667,3.0943
702,77.0667,3.693
801,80.3,-0.0437
802,80.4667,0.414
803,81.1,0.6593
804,81.4,0.7737
805,82.2,1.0053
806,81.7667,0.8577
807,82.7667,0.7077
901,77.2,0.1613
902,75.5667,-0.0467
903,76.9,-0.008
904,78.1667,0.2613
905,79.3333,0.091
906,79.0667,-0.2213
907,79.4667,-0.4857
908,79.2333,-0.5177
909,80.2333,0.0803
1001,61.1,0.91
1002,63.6333,1.6153
1003,66.9333,1.8247
1004,60.3,2.2297
1005,72.2333,2.3613
1006,67.9,2.7503
1007,69.9667,3.0083
1008,60.7,2.7987
1009,67.1,2.868
1010,64.8,2.936
1101,74.0,2.749
1102,74.2333,3.2617
1103,75.5667,1.851
1104,75.3,2.3987
1105,74.6,2.3027
1106,77.0,2.2903
1107,76.9,2.5803
1108,78.7667,2.8323
1109,78.4667,2.6327
1201,73.2333,2.127
1202,73.1,2.25
1203,73.0333,2.3877
1204,74.9333,2.255
1205,74.4,2.0437
1206,73.5333,2.1207
1207,77.1667,2.288
1208,75.7667,1.9647
1209,75.2667,1.858
1301,73.5667,3.0943
1302,72.6333,2.6533
1303,72.4667,2.8433
1304,74.1333,2.4823
1305,73.7333,2.164
1306,74.0333,2.525
1307,75.5667,2.524
1308,75.4,2.3367
1309,75.2667,2.0967
1401,78.1,4.087
1402,78.8,2.7063
1403,78.2667,2.6273
1404,78.6667,3.5663
1405,80.1,2.926
1406,79.6,3.1627
1407,79.7,3.029
1408,80.4667,2.247
1409,80.5,2.7317
1501,78.4667,1.8627
1502,76.5333,1.565
1503,75.2667,1.567
1504,73.8,0.608
1601,82.1667,1.0843
1602,81.8,1.4273
1603,81.5333,0.8343
1604,81.7333,0.9547
1605,81.5667,0.2767
1606,81.1,0.4543
1607,81.7333,0.043
1608,81.4,0.1367
1609,81.8,0.4163
1701,63.9333,2.5123
1702,66.5333,2.1167
1703,66.4,2.4847
1801,77.8333,3.654
1802,77.8,3.4517
1803,77.5667,2.8493
1804,77.5667,3.1613
1805,77.4333,3.4277
1806,75.0333,2.4937
1807,72.9,1.533
1808,67.1667,1.2017
1901,67.5333,2.356
1902,70.2333,2.592
1903,70.5667,2.716
2001,65.9,3.6113
2002,66.4333,4.115
2003,68.6667,4.1803
2004,68.0333,3.5877
2005,69.9667,3.5417
2006,69.7,2.8717
2007,70.5,3.1747
2008,72.0333,2.895
2009,71.6,2.7403
2010,72.2667,3.342
2101,68.4,2.7137
2102,67.0333,3.068
2103,65.3333,3.6463
2104,70.8333,2.668
2105,70.9,2.8123
2106,69.2667,3.2273
2107,72.4333,3.1987
2108,72.4,2.7433
2109,71.5,2.8527
2201,80.4667,0.1523
2202,79.6333,0.2577
2203,78.3667,-0.2757
2204,80.6333,-0.004
2205,79.3333,-0.1297
2206,79.2,-0.246
2207,80.6,0.3653
2208,80.2667,0.2903
2209,79.7,-0.1427
2210,80.5,0.4617
2301,77.8,2.922
2302,77.7,2.6637
2303,79.1333,2.8553
2304,78.6,2.8203
2305,77.8,2.546
2306,79.8667,1.7817
2401,60.0333,1.8977
2402,60.2667,3.1063
2403,65.8333,2.6777
2404,65.4,3.1773
2405,67.6333,4.2933
2406,69.5333,3.377
2407,71.9667,4.379
2501,74.0333,5.238
2502,75.0,4.2827
2503,75.4,3.2027
2505,75.2333,3.126
2506,76.2333,2.7413
2507,76.6333,4.0443
2508,76.4,2.4727
2509,76.6333,1.973
2601,70.5,2.5303
2602,67.1333,2.687
2603,72.6333,2.9087
2604,85.4333,2.475
2701,63.7,1.9937
2702,67.7333,2.5533
2801,72.4333,2.89
2802,75.2667,2.986
2803,75.1,3.4113
2901,71.6333,3.1683
2902,67.5333,3.2087
2903,77.4,3.6887
2904,68.6667,2.8357
2905,76.8667,3.095
